mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
450000,13,21,0,1.1418861e-05,2.4827007e-11,6.6061807e-32,4.5605e-41,9.016839e-17,2.4109944e-21
450000,31,37,0,1.1418771e-05,1.3923771e-08,3.8359438e-38,0.0,4.097069e-10,2.8000782e-19
450000,23,31,0,1.3422938e-05,7.267276e-08,5.28233e-40,0.0,1.573745e-09,2.8420148e-31
450000,37,22,0,1.0619301e-05,1.3347741e-07,2.4027703e-30,1.675534e-39,3.4509957e-09,2.0371652e-19
450000,14,39,0,1.1212078e-05,3.3664134e-11,1.5954931e-28,5.5938454e-36,1.3510684e-16,5.346235e-16
450000,22,15,0,1.0331237e-05,3.156505e-11,1.3681185e-38,0.0,1.627028e-16,1.6541032e-27
450000,37,31,0,8.976626e-06,9.896998e-09,6.9502247e-28,2.8509609e-36,3.5226733e-12,1.70243e-16
450000,39,24,0,1.1396875e-05,6.434634e-09,4.6228305e-21,3.794137e-27,2.5452984e-12,1.8677516e-13
450000,32,34,0,1.1476589e-05,8.311437e-09,6.3e-44,0.0,3.2264924e-12,1.9663153e-25
450000,36,36,0,1.419891e-05,6.6140844e-09,2.0405374e-30,1.6899605e-38,2.5294714e-12,2.581908e-19
450000,40,26,0,1.180397e-05,8.3777076e-11,9.331366e-15,1.5313001e-18,4.5874653e-16,3.6322435e-11
450000,23,29,0,1.346401e-05,5.98438e-10,1e-45,0.0,8.711538e-14,1.5489994e-36
450000,14,33,0,1.19609795e-05,1.258512e-08,4.105847e-36,1e-45,4.7163497e-12,1.46311675e-27
450000,27,41,0,8.959031e-06,4.1282764e-08,3.774463e-21,8.502119e-26,1.1778499e-09,5.4219036e-11
450000,41,19,0,1.1744647e-05,2.4212915e-11,1.6929753e-19,8.1310516e-25,1.110273e-16,4.342466e-11
450000,19,30,0,1.1592976e-05,2.808812e-09,1.288e-42,0.0,1.0483437e-12,2.8929198e-32
450000,29,20,0,1.07566875e-05,8.846683e-09,0.0,0.0,2.7934903e-12,2.5101693e-37
450000,41,37,0,1.2189041e-05,1.7088082e-07,3.9036882e-18,5.471166e-22,4.246146e-09,3.4637098e-12
450000,10,34,0,9.152737e-06,2.1843367e-07,7.172007e-22,1.6973254e-26,5.9619625e-09,1.6286286e-18
450000,19,9,0,1.04333185e-05,1.4108648e-12,2.9036172e-18,7.9260844e-23,8.310652e-20,9.750762e-14
450000,39,26,0,1.14944305e-05,6.7454293e-12,4.8552997e-17,1.3640699e-21,5.104763e-19,7.22572e-13
450000,9,10,0,1.0032205e-05,5.942365e-13,2.723863e-17,7.614943e-22,3.0074823e-20,1.2317031e-14
450000,23,9,0,1.3267073e-05,2.2456412e-07,1.3804427e-24,1.9075166e-31,5.7836758e-09,2.5587759e-14
450000,37,12,0,1.0325883e-05,5.6903357e-08,1.7029248e-26,4.101146e-34,1.3809803e-09,2.0442222e-19
450000,33,38,0,1.0994873e-05,1.2389577e-09,2.4909776e-31,1.6811e-40,4.5003053e-13,5.91813e-18
450000,27,36,0,9.631824e-06,2.6474873e-09,3.6987286e-35,6e-45,8.119232e-13,2.2258169e-20
450000,38,8,0,1.1193214e-05,5.748673e-08,2.833085e-15,4.6741826e-19,1.6224821e-09,2.989262e-11
450000,34,33,0,1.2317674e-05,7.5259585e-09,5.47155e-40,0.0,2.775824e-12,1.5398324e-22
450000,24,14,0,1.27478725e-05,3.70117e-11,4.310948e-39,0.0,7.877167e-17,2.606932e-23
450000,32,20,0,1.1269806e-05,2.3039785e-08,8e-45,0.0,4.5634116e-10,1.2427594e-30
450000,16,18,0,1.4331747e-05,3.1227865e-09,5.2446476e-38,0.0,1.1920815e-12,2.1224218e-27
450000,20,13,0,1.14971e-05,8.805923e-11,4.8143114e-31,1.848859e-39,4.881256e-16,9.664031e-23
450000,17,26,0,1.15600205e-05,1.1192704e-07,5.279084e-37,0.0,1.9441793e-09,1.9648501e-32
450000,42,37,0,1.2408307e-05,5.8111174e-09,3.086495e-15,2.7896236e-18,2.0072687e-12,3.1450828e-10
450000,7,16,0,1.144698e-05,1.3169416e-07,3.198963e-19,1.5055578e-24,2.5664921e-09,2.3934105e-10
450000,31,36,0,9.80536e-06,1.2112593e-09,8.5964e-41,0.0,4.499134e-13,1.9831827e-21
450000,15,23,0,1.1184213e-05,7.970325e-11,8.037791e-38,0.0,3.4644743e-16,4.1837108e-24
450000,16,13,0,9.941338e-06,5.5303038e-09,4.782305e-31,1.846663e-39,9.0577906e-11,4.659082e-17
450000,32,15,0,9.23456e-06,1.2370468e-07,7.788194e-36,1e-45,3.4556247e-09,1.1232673e-27
450000,32,29,0,1.0063873e-05,9.371178e-08,1.711195e-36,0.0,2.3341336e-09,2.948177e-28
450000,10,13,0,1.1508362e-05,8.931644e-10,1.2577375e-21,1.02885065e-27,2.0477164e-13,1.5784497e-17
450000,16,23,0,1.3952356e-05,8.000748e-10,2.0584e-40,0.0,8.216194e-14,2.5937894e-26
450000,35,40,0,1.1556841e-05,5.338015e-08,1.2836348e-22,8.9519715e-29,1.4495118e-09,9.272417e-13
450000,11,11,0,1.1840152e-05,1.1798967e-08,1.831727e-20,8.7545676e-26,2.7813546e-10,1.2012751e-17
450000,24,13,0,1.1749608e-05,4.2413367e-10,1.9208983e-36,0.0,2.168458e-15,3.6490847e-21
450000,35,37,0,1.1791973e-05,5.146393e-09,4.5587127e-30,9.75854e-39,1.962832e-12,1.8822993e-18
450000,12,26,0,1.1355859e-05,6.4941996e-11,4.0700162e-24,5.7563413e-31,3.229319e-16,7.990746e-21
450000,39,11,0,1.1470886e-05,6.383071e-11,1.1587146e-20,5.452508e-26,3.2597703e-16,8.233928e-17
450000,17,28,0,1.147745e-05,7.4026927e-09,5.279084e-37,0.0,2.5690225e-12,1.1365684e-30
450000,38,38,0,1.0442351e-05,6.746052e-09,2.6029472e-21,2.121996e-27,2.5300623e-12,6.8523557e-16
450000,23,32,0,1.2303356e-05,1.3930028e-07,3.7371908e-37,0.0,3.797106e-09,1.1677446e-28
450000,31,40,0,1.1093554e-05,4.542321e-12,1.2225473e-29,8.754298e-37,3.3868207e-19,6.574116e-13
450000,8,37,0,1.2760959e-05,2.320121e-07,1.3024541e-21,3.5853875e-27,6.0421135e-09,8.587788e-13
450000,14,25,0,1.0915389e-05,3.72077e-09,4.7980327e-31,3.37828e-40,1.146181e-12,1.202067e-24
450000,22,37,0,8.861976e-06,9.3529984e-08,1.6145096e-21,7.5402646e-27,2.3839404e-09,1.6137007e-17
450000,42,16,0,8.76751e-06,6.214964e-10,5.630537e-18,1.4493567e-22,2.3468835e-13,4.474748e-07
450000,37,34,0,1.0731787e-05,2.3010129e-08,6.5391024e-33,4.3437e-41,2.8348518e-10,5.8388847e-18
450000,14,20,0,1.1729317e-05,1.1315858e-09,1.3213404e-32,9.121e-42,4.5909094e-13,5.9034286e-23
450000,33,31,0,9.828826e-06,1.7914883e-10,5.010828e-38,0.0,7.5837756e-16,1.2022596e-24
450000,31,39,0,1.1800214e-05,4.596493e-11,1.3428745e-32,1.0089e-40,2.5193804e-16,5.040739e-15
450000,39,19,0,1.0057004e-05,3.274432e-10,2.027752e-24,2.8465788e-31,7.98679e-14,1.0895381e-14
450000,13,34,0,1.2498057e-05,1.5925858e-08,1.9945358e-31,1.5619652e-38,5.8075103e-12,3.5501455e-25
450000,30,23,0,1.1711541e-05,1.339069e-09,0.0,0.0,3.561408e-13,1.1665555e-33
450000,11,39,0,1.1881764e-05,1.8294238e-11,3.4135044e-22,8.812878e-28,1.2844089e-18,8.790622e-16
450000,10,26,0,1.2219229e-05,1.2520859e-13,2.8594975e-19,1.3834207e-24,1.1563203e-22,2.2602095e-16
450000,33,16,0,9.40344e-06,1.2488442e-07,6.473324e-37,0.0,3.456159e-09,1.3970369e-25
450000,26,38,0,1.308952e-05,6.863043e-08,1.2554435e-27,2.886763e-35,1.7474804e-09,6.9211707e-18
450000,32,31,0,1.0400855e-05,4.4689513e-10,1.1874e-40,0.0,2.2992345e-15,8.746221e-27
450000,19,40,0,8.877335e-06,1.5104764e-08,5.757329e-17,1.6217896e-21,4.185692e-10,3.0966057e-10
450000,35,18,0,1.0157548e-05,4.099335e-09,3.4010387e-33,2.371e-42,1.5750108e-12,1.5303831e-21
450000,26,23,0,1.1433206e-05,8.677159e-09,0.0,0.0,3.0578957e-12,7.62e-43
450000,24,35,0,1.1361653e-05,7.6209306e-10,6.9829546e-31,2.716105e-39,1.3413047e-14,1.4017604e-22
450000,9,25,0,1.2410607e-05,4.1093194e-14,7.1481743e-19,3.4585437e-24,4.168324e-23,1.2841786e-14
450000,25,32,0,1.3355874e-05,4.832564e-09,1.8382e-41,0.0,1.6919009e-12,6.1657458e-31
450000,25,38,0,1.2382146e-05,8.296724e-08,3.3269033e-25,4.5086045e-32,2.226986e-09,2.1461904e-17
450000,26,13,0,1.0577584e-05,4.9916075e-11,4.0951423e-32,2.6213e-41,2.5237138e-16,2.8527227e-22
450000,18,26,0,1.306559e-05,1.3652829e-07,1.124213e-39,0.0,3.7098087e-09,9.109836e-35
450000,17,37,0,1.0445398e-05,8.57338e-08,3.7545874e-28,1.5423906e-36,2.2794655e-09,2.1544711e-18
450000,40,9,0,1.1321747e-05,4.433095e-09,4.694027e-21,3.8682434e-27,1.7602662e-12,4.1827012e-14
450000,14,19,0,1.1424904e-05,2.8144655e-08,5.964629e-31,2.417971e-39,8.279016e-10,2.739597e-24
