mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
1000000,8,8,0,2.2184808e-05,1.7235925e-10,1.4606231e-13,2.5927875e-17,1.1128257e-15,1.8464165e-10
1000000,25,29,0,1.4694716e-05,7.5597875e-08,1.36e-43,0.0,3.3383818e-09,2.407904e-28
1000000,12,8,0,1.8112289e-05,1.1660117e-07,7.3966474e-14,1.2933376e-17,4.343465e-09,2.4346985e-08
1000000,32,30,0,1.7042763e-05,1.6921911e-08,3.869752e-34,4e-45,1.2380458e-11,5.0981856e-22
1000000,25,24,0,1.9153258e-05,2.7509191e-08,0.0,0.0,2.2662741e-11,1.2076145e-36
1000000,18,42,0,1.0587098e-05,2.9841633e-08,7.126698e-09,2.4585284e-10,1.2733221e-09,2.4066849e-06
1000000,7,24,0,1.8290151e-05,3.8158452e-11,1.07466885e-13,1.8702559e-17,4.760306e-18,2.6696785e-08
1000000,20,25,0,1.4633791e-05,3.267166e-08,2.7e-44,0.0,1.5894602e-09,2.4659717e-33
1000000,13,17,0,1.9475814e-05,3.3639765e-08,3.49201e-23,9.266723e-31,2.3956418e-11,2.7245318e-19
1000000,33,8,0,1.8467446e-05,1.1814585e-09,2.156845e-20,1.3962263e-26,9.901956e-13,9.7371405e-08
1000000,19,16,0,2.1413338e-05,5.332683e-08,4.0991372e-32,9.29e-43,3.9531434e-11,1.02323276e-20
1000000,36,18,0,1.42340205e-05,1.0120284e-07,5.6100036e-25,1.3918526e-32,2.2379383e-09,1.0453124e-12
1000000,31,28,0,1.6318985e-05,1.1059078e-07,2.379219e-34,6e-45,5.8683054e-09,1.9033745e-26
1000000,31,38,0,1.7370454e-05,2.3265732e-10,2.9682026e-20,1.3572447e-25,6.816594e-16,6.635759e-14
1000000,31,30,0,1.5843585e-05,1.1208667e-07,1.5297745e-36,0.0,5.8699277e-09,6.5301835e-24
1000000,12,18,0,1.8472987e-05,1.7298268e-08,8.1588166e-23,2.1627742e-30,1.19825755e-11,6.0676365e-17
1000000,37,15,0,1.4581052e-05,1.2069405e-07,4.4290756e-20,1.8293395e-25,4.928095e-09,2.0859471e-10
1000000,7,40,0,1.10785295e-05,1.1774329e-09,1.520624e-10,8.666821e-13,8.603871e-13,2.1075392e-07
1000000,24,11,0,1.48996505e-05,4.0574434e-08,4.4349385e-21,3.5199366e-27,2.8558006e-10,5.118418e-13
1000000,15,35,0,2.1250824e-05,7.32038e-09,2.5203263e-19,1.2172652e-24,8.4599096e-14,2.5800214e-11
1000000,39,21,0,1.8273604e-05,1.8722249e-08,1.9730062e-24,4.889748e-32,1.2815565e-11,2.0815699e-10
1000000,41,39,0,2.0306195e-05,8.08342e-11,2.014304e-12,1.9685027e-15,1.08453324e-16,7.716168e-09
1000000,30,38,0,2.0726216e-05,1.629724e-09,3.1111697e-20,2.5344754e-26,5.420511e-13,2.3970488e-13
1000000,8,22,0,2.1328842e-05,1.962706e-12,1.8052304e-12,1.8409736e-15,1.06637617e-16,1.8361361e-10
1000000,35,31,0,1.98985e-05,2.325555e-08,8.308456e-26,3.7142157e-34,1.32642525e-11,1.0488587e-15
1000000,7,8,0,1.6622329e-05,3.6480003e-11,8.893987e-12,9.188171e-15,6.078349e-16,2.6162001e-09
1000000,19,36,0,2.140897e-05,1.682032e-08,5.3937528e-21,5.3673807e-27,1.1976583e-11,1.7476593e-12
1000000,40,9,0,1.8653156e-05,5.6268675e-08,8.404705e-16,2.494685e-20,2.9631695e-09,4.4865104e-08
1000000,23,31,0,1.8622148e-05,2.673552e-07,1.6599532e-38,0.0,1.5367984e-08,2.1648605e-21
1000000,40,39,0,2.3539113e-05,5.8540683e-10,1.7644636e-14,2.944143e-18,7.2378745e-15,3.0448882e-10
1000000,36,26,0,2.3253411e-05,2.223433e-08,2.9577615e-25,4.601426e-33,1.6209669e-11,3.1919874e-17
1000000,36,40,0,1.601527e-05,1.7544809e-09,7.1249026e-19,3.1661654e-24,1.9377293e-14,3.5393356e-08
1000000,14,14,0,2.1399293e-05,4.1304062e-07,8.734121e-24,2.3167127e-31,1.724413e-08,9.5203386e-17
1000000,25,19,0,1.7328983e-05,2.4337817e-07,3.158988e-39,0.0,1.1348529e-08,5.4458466e-27
1000000,27,27,0,2.217098e-05,3.8391534e-09,4e-45,0.0,2.903216e-13,5.5864337e-33
1000000,38,31,0,2.178517e-05,1.9477541e-07,2.6975694e-19,2.6586023e-25,7.983054e-09,7.433603e-11
