X,Y,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
0,0,0.0,5.26537138955753e-08,3.2176512363491445e-08,0.0,0.0,8.862081488591176e-09
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,5.9209656334648095e-08,2.2553650236563834e-08,9.330213759430494e-09,0.0,2.7385621939746554e-07
0,3,0.0,7.292484164782798e-08,0.0,0.0,0.0,7.445724585742758e-07
0,4,3.4341806117518467e-07,0.0,1.2333081653770904e-08,0.0,0.0,1.1530554777765495e-07
0,5,0.0,0.0,0.0,0.0,0.0,0.0
0,6,3.365853969889692e-07,6.3674463183128e-08,0.0,0.0,0.0,7.148498784045142e-08
0,7,3.5336578529997635e-07,0.0,1.1989342825010526e-08,0.0,0.0,1.9213088068043245e-07
0,8,3.575137498610857e-07,6.237274309313775e-08,1.4014516202409483e-08,0.0,1.0973091816160755e-09,0.0
0,9,3.3594164016275505e-07,7.689116290703171e-08,0.0,0.0,0.0,0.0
0,10,0.0,5.958729882308224e-08,0.0,0.0,0.0,0.0
0,11,3.4689242508606227e-07,9.115433519607111e-08,0.0,1.5173902974615448e-09,0.0,3.0900584786916916e-07
0,12,3.290668536842302e-07,3.7745247981860417e-08,3.8273086972318896e-08,7.969113138249465e-09,0.0,1.4442936682456435e-07
0,13,3.514279714004687e-07,6.309720642321692e-08,0.0,0.0,0.0,0.0
0,14,0.0,6.469085101436001e-08,3.649739162051445e-08,0.0,0.0,0.0
0,15,0.0,8.145173575785274e-08,5.408388064794673e-08,0.0,0.0,1.632796884735258e-07
0,16,3.59988249205777e-07,0.0,0.0,0.0,8.02927988714578e-08,1.8196797787058565e-07
0,17,3.435199662929465e-07,7.131349786516667e-08,0.0,8.139959373579198e-09,2.0875096680542862e-08,0.0
0,18,0.0,5.456543419606924e-08,0.0,0.0,0.0,1.6790739062277233e-07
0,19,3.6016354598963244e-07,0.0,3.3451197579999894e-08,0.0,0.0,8.2533666603538e-08
0,20,3.394066311399059e-07,6.22543463928501e-08,0.0,0.0,0.0,0.0
0,21,0.0,9.272092295894035e-08,1.0784365876023344e-08,0.0,0.0,2.2413649270601994e-07
0,22,3.357220045999952e-07,4.488682021202858e-08,5.6722146534331435e-08,0.0,0.0,0.0
0,23,3.4029932229880964e-07,0.0,0.0,0.0,0.0,8.066233329020249e-08
0,24,0.0,7.772904012484086e-08,2.661180893732787e-08,0.0,0.0,0.0
0,25,0.0,7.942344876149628e-08,7.509115201969777e-09,0.0,8.754386930400521e-09,1.991797372890421e-07
0,26,3.2079220745063594e-07,0.0,6.66144779341816e-09,0.0,0.0,2.565335897093545e-07
0,27,0.0,6.167071687999306e-08,0.0,0.0,0.0,3.4092682501076737e-07
0,28,3.345055267041918e-07,0.0,3.0487284592814985e-08,0.0,1.0103394145262783e-08,1.7282448035276009e-07
0,29,3.1863138828076743e-07,0.0,2.467005977387754e-10,0.0,2.748320964134129e-09,1.6100358838813238e-07
0,30,3.358084502647647e-07,0.0,0.0,1.5865334167452442e-08,0.0,0.0
0,31,3.175991533913815e-07,6.393438743279782e-08,0.0,0.0,0.0,8.013188386998965e-08
0,32,3.4933920302486237e-07,5.256307801631711e-08,2.526051069753195e-08,0.0,0.0,0.0
0,33,3.3733478427500275e-07,0.0,0.0,0.0,3.6195065443492275e-09,0.0
0,34,0.0,7.957695013745145e-08,0.0,0.0,0.0,0.0
0,35,0.0,4.254646929948737e-08,0.0,0.0,0.0,1.6540082262243856e-07
0,36,3.427656202257493e-07,0.0,0.0,0.0,0.0,0.0
0,37,3.79646578713702e-07,0.0,0.0,0.0,0.0,2.000208938932015e-07
