mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
940000,78,62,[9.4822786e-07],[2.5099716e-09],[1.7512993e-26],[4.784504e-37],[5.740099e-12],[7.922254e-09]
940000,86,51,[9.483067e-07],[6.459963e-10],[1.324526e-13],[5.4642203e-18],[2.5380375e-14],[2.5883624e-09]
940000,69,56,[9.4917624e-07],[2.543049e-11],[2.8813185e-10],[2.2284082e-12],[4.2907854e-13],[4.505825e-09]
940000,85,12,[8.395712e-07],[1.3869539e-09],[1.0588928e-12],[2.6457453e-16],[5.357498e-14],[1.1705775e-07]
940000,61,28,[9.397063e-07],[1.2469853e-09],[2.975195e-12],[7.6240107e-16],[5.391262e-14],[1.1561049e-08]
940000,65,76,[9.295442e-07],[5.351479e-10],[6.95556e-11],[1.1001823e-13],[1.680357e-14],[9.413815e-10]
940000,71,50,[1.2157956e-06],[4.2503117e-09],[2.0252132e-16],[2.7119607e-22],[7.0522715e-10],[8.057235e-09]
940000,22,86,[9.823126e-07],[4.071761e-10],[6.035787e-12],[1.5789971e-15],[9.163661e-15],[3.0584e-09]
940000,32,24,[1.277911e-06],[7.1432756e-11],[3.704251e-19],[1.3176019e-26],[1.6031544e-17],[2.79343e-09]
940000,82,83,[1.1637135e-06],[1.5412093e-09],[3.0588534e-15],[2.1050247e-20],[2.8012007e-12],[8.6369134e-10]
940000,27,12,[8.8412565e-07],[5.6474414e-10],[8.036418e-10],[7.450101e-12],[1.7959395e-12],[2.4544353e-09]
940000,53,25,[9.458119e-07],[2.3974314e-09],[4.1097356e-22],[2.8946377e-30],[4.9926014e-12],[2.849426e-10]
940000,15,36,[8.331341e-07],[1.2070448e-09],[1.4201836e-19],[5.8650202e-27],[2.209398e-12],[2.8631117e-08]
940000,33,63,[1.2404339e-06],[6.572579e-10],[1.6498177e-13],[7.556897e-18],[1.9423758e-14],[1.7335745e-08]
940000,37,39,[1.0661481e-06],[8.268693e-09],[5.1525987e-23],[1.02216346e-32],[8.653458e-08],[1.977817e-10]
940000,17,72,[8.9911555e-07],[5.186641e-09],[1.967552e-11],[2.6018257e-14],[7.487942e-10],[1.3428371e-10]
940000,81,64,[8.9229803e-07],[1.9818915e-09],[4.1401476e-25],[6.7753003e-35],[6.479932e-12],[1.994865e-08]
940000,66,45,[1.1238752e-06],[4.3805338e-11],[3.2255854e-10],[2.601657e-12],[5.275666e-13],[1.0524732e-08]
940000,85,18,[1.3110213e-06],[5.3332636e-09],[4.4841388e-11],[6.31143e-14],[7.076532e-10],[1.8082835e-10]
940000,17,64,[9.853078e-07],[1.7341855e-09],[2.0216801e-13],[8.514999e-18],[2.2961964e-12],[1.32349065e-08]
940000,20,71,[9.096517e-07],[5.8535674e-09],[4.424777e-15],[2.859052e-20],[7.322112e-10],[2.3518034e-09]
940000,15,45,[1.2628682e-06],[1.9926044e-10],[4.746205e-20],[5.050031e-27],[7.376436e-15],[2.4907781e-10]
940000,76,76,[8.595909e-07],[2.0383721e-10],[3.8288014e-10],[3.3310952e-12],[7.4911496e-13],[7.3551236e-09]
940000,80,60,[9.4123465e-07],[5.921635e-09],[8.8570235e-21],[1.3915288e-28],[6.9724987e-10],[2.3331493e-08]
940000,83,22,[1.0105816e-06],[2.8506827e-10],[5.2425013e-17],[6.461158e-23],[1.8623265e-16],[1.8540176e-08]
940000,71,44,[1.5398515e-06],[8.3164076e-10],[1.8408343e-15],[1.3127075e-20],[2.7356101e-14],[3.497125e-10]
940000,65,64,[1.4695588e-06],[5.0258775e-10],[1.27334705e-20],[8.463973e-29],[1.7201308e-14],[5.931093e-10]
940000,68,53,[9.673234e-07],[3.4542308e-10],[1.1756126e-15],[7.9894475e-21],[7.201899e-15],[5.453294e-09]
940000,36,22,[1.0360316e-06],[4.4968083e-09],[4.9309933e-20],[3.49206e-28],[6.4969075e-10],[1.1396963e-08]
940000,69,16,[1.2970827e-06],[7.065756e-11],[6.9277276e-17],[6.116565e-23],[1.392655e-17],[8.825098e-10]
940000,69,61,[9.158371e-07],[1.1536171e-09],[1.1736468e-11],[1.5616045e-14],[3.370991e-14],[1.0277021e-09]
940000,58,57,[9.710674e-07],[3.7679673e-10],[1.170314e-14],[4.1625114e-19],[9.085119e-15],[3.222714e-09]
940000,59,19,[9.549578e-07],[3.941102e-09],[8.085818e-11],[1.3058805e-13],[1.207032e-11],[2.4542015e-08]
940000,19,45,[1.3528902e-06],[3.191975e-10],[5.3363763e-14],[1.7020587e-18],[1.7216789e-16],[4.407321e-10]
940000,69,15,[1.2497019e-06],[1.8400452e-10],[1.20042436e-17],[5.568456e-24],[5.8088586e-17],[1.055372e-09]
940000,14,27,[8.308731e-07],[2.4969493e-11],[5.984347e-25],[9.710006e-35],[1.5766282e-19],[1.0811869e-09]
