mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
70000,341,180,[1.6013293e-09],[0.],[0.],[0.],[0.],[0.]
70000,96,202,[1.5989026e-09],[2.7031051e-15],[4.665148e-27],[9.802e-42],[2.2579523e-28],[1.2371639e-30]
70000,233,207,[1.5468905e-09],[4.e-45],[0.],[0.],[0.],[0.]
70000,200,206,[1.5557521e-09],[5.196732e-35],[0.],[0.],[0.],[0.]
70000,326,59,[1.568121e-09],[1.4341897e-16],[0.],[0.],[6.3227865e-33],[1.4748391e-26]
70000,57,236,[1.5596413e-09],[2.1606714e-13],[1.6897925e-35],[0.],[2.3566009e-24],[7.922068e-25]
70000,165,369,[1.5805953e-09],[1.1086447e-22],[0.],[0.],[0.],[0.]
70000,356,130,[1.9334256e-09],[1.7160244e-14],[4.7083796e-15],[2.9064245e-19],[9.453122e-22],[0.]
70000,282,176,[1.6920939e-09],[1.28e-43],[0.],[0.],[0.],[0.]
70000,439,331,[2.5026303e-09],[2.0316079e-16],[0.],[0.],[1.0101315e-35],[0.]
70000,221,275,[1.6192965e-09],[0.],[0.],[0.],[0.],[0.]
70000,239,178,[2.2135862e-09],[6.6e-44],[0.],[0.],[0.],[0.]
70000,156,145,[1.8391116e-09],[0.],[0.],[0.],[0.],[0.]
70000,274,270,[1.6014966e-09],[1.9814008e-19],[0.],[0.],[1.e-45],[0.]
70000,201,157,[1.6407711e-09],[6.356669e-21],[1.2406254e-11],[1.0010897e-13],[1.34405375e-14],[0.]
70000,442,317,[1.7644312e-09],[1.5511048e-12],[0.],[0.],[1.8603891e-20],[1.9468458e-36]
70000,142,318,[1.645773e-09],[0.],[0.],[0.],[0.],[4.32e-43]
70000,323,160,[1.6083764e-09],[5.455496e-25],[0.],[0.],[0.],[0.]
70000,56,81,[2.8552458e-09],[2.5059832e-10],[1.0187695e-30],[0.],[9.942661e-12],[1.2012355e-12]
70000,272,252,[1.5749959e-09],[2.6572168e-25],[0.],[0.],[0.],[0.]
70000,254,109,[2.002627e-09],[1.1886e-41],[0.],[0.],[0.],[0.]
70000,387,144,[1.5516737e-09],[5.7637753e-34],[0.],[0.],[0.],[0.]
70000,270,314,[1.5966226e-09],[0.],[0.],[0.],[0.],[0.]
70000,258,361,[1.865476e-09],[0.],[0.],[0.],[0.],[0.]
