mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
680000,18,35,[1.0082273e-05],[2.1669938e-13],[4.9617338e-11],[2.720506e-13],[3.9658533e-14],[4.4241784e-09]
680000,25,24,[1.1042552e-05],[8.172335e-10],[2.1436951e-16],[5.9823927e-21],[4.277678e-13],[2.6466527e-09]
680000,31,19,[8.562805e-06],[1.45681875e-08],[8.4880616e-13],[8.364665e-16],[5.413504e-10],[1.5699471e-09]
680000,38,26,[1.1374673e-05],[4.9432515e-12],[4.397114e-24],[1.0970622e-31],[4.344293e-19],[3.5986547e-11]
680000,10,16,[9.378325e-06],[9.367349e-11],[3.5064935e-18],[1.739564e-23],[5.273825e-16],[2.4477445e-10]
680000,27,40,[8.518427e-06],[1.5421596e-08],[8.330445e-15],[1.3921121e-18],[5.810675e-10],[2.7840095e-08]
680000,41,12,[8.948605e-06],[4.528527e-11],[9.119484e-19],[4.4271193e-24],[1.9281841e-16],[8.4799945e-09]
680000,15,14,[9.800925e-06],[3.0098508e-07],[2.989316e-18],[1.5009571e-23],[3.7263163e-07],[1.3581477e-07]
680000,11,33,[1.1322264e-05],[1.1301529e-14],[1.630511e-26],[9.984303e-35],[2.006068e-25],[1.1017382e-08]
680000,23,26,[9.361144e-06],[1.2904531e-09],[3.1810492e-11],[1.6500091e-13],[5.948481e-13],[5.1504885e-09]
680000,35,8,[8.525952e-06],[1.1793255e-10],[2.4695337e-10],[1.4167621e-12],[2.4906742e-13],[1.2483738e-09]
680000,24,27,[9.413422e-06],[6.4853983e-10],[1.5044141e-11],[8.166165e-14],[2.9738432e-13],[4.0526507e-09]
680000,23,32,[9.34417e-06],[1.6853726e-09],[4.2088798e-12],[4.238931e-15],[8.324193e-13],[3.368672e-10]
680000,19,36,[1.1040314e-05],[9.091167e-14],[2.4810144e-11],[1.3602554e-13],[1.982927e-14],[2.212859e-09]
680000,42,41,[8.774106e-06],[2.9152094e-08],[3.6566323e-12],[3.658247e-15],[1.0504416e-09],[2.774093e-08]
680000,41,37,[9.34517e-06],[5.2547424e-12],[8.433003e-15],[7.67615e-18],[7.989065e-19],[2.9383997e-08]
680000,32,38,[9.478949e-06],[1.01425146e-10],[2.2196093e-12],[2.1763902e-15],[7.8866264e-16],[6.588301e-10]
680000,18,37,[1.0139731e-05],[2.5109418e-11],[4.9617855e-11],[2.7205064e-13],[3.982521e-14],[4.4227746e-09]
680000,12,39,[8.908018e-06],[9.510377e-11],[1.0468248e-12],[1.0400869e-15],[6.84282e-16],[5.4466726e-10]
680000,21,33,[1.01712685e-05],[1.1570041e-12],[8.039889e-18],[4.0552578e-23],[8.845537e-20],[5.2796153e-12]
680000,16,13,[1.0315238e-05],[1.7551623e-07],[6.8873515e-18],[3.462443e-23],[6.0610224e-09],[1.14128134e-07]
680000,11,15,[9.714303e-06],[1.413434e-09],[2.4774953e-22],[3.4976293e-29],[6.6085895e-13],[9.85075e-11]
680000,40,39,[8.860636e-06],[7.2456284e-11],[1.3055643e-18],[3.1537343e-23],[4.750963e-16],[2.7209677e-09]
680000,18,11,[8.6968885e-06],[1.7764873e-12],[3.0775324e-17],[6.9576855e-22],[2.2621132e-21],[1.6813805e-09]
680000,12,34,[9.521507e-06],[4.322016e-12],[4.1963533e-22],[1.3646837e-28],[4.1058681e-19],[2.0491052e-10]
680000,35,25,[9.001459e-06],[8.2722845e-10],[3.097374e-21],[2.6435925e-27],[4.4069723e-13],[1.5206052e-10]
680000,18,24,[8.96006e-06],[1.3169281e-09],[1.4811343e-14],[2.4458163e-18],[5.935984e-13],[1.8889565e-09]
680000,42,29,[8.577259e-06],[1.5194475e-14],[3.265022e-12],[3.2506609e-15],[1.7025783e-16],[4.8237414e-10]
680000,39,12,[9.012228e-06],[8.6860097e-10],[3.0518642e-15],[5.061326e-19],[4.5403538e-13],[4.0085135e-07]
680000,36,27,[9.0742105e-06],[6.716571e-11],[3.825438e-18],[1.9112028e-23],[4.2766148e-16],[1.575119e-12]
680000,33,13,[8.554126e-06],[1.1042005e-11],[7.832688e-11],[4.475011e-13],[7.713237e-14],[4.606072e-07]
680000,27,23,[1.0334163e-05],[3.05164e-08],[1.05850734e-14],[1.7257831e-18],[1.146365e-09],[9.473635e-11]
680000,41,35,[1.1388424e-05],[3.731161e-12],[1.1847926e-09],[3.6851414e-11],[1.6859805e-11],[8.606448e-11]
680000,23,37,[8.682055e-06],[8.291856e-12],[4.0634205e-22],[8.501894e-29],[7.3044474e-19],[4.6300642e-07]
680000,38,29,[9.471822e-06],[1.4447e-08],[1.2759105e-17],[6.371504e-23],[4.8483495e-10],[3.969268e-10]
680000,11,10,[9.378296e-06],[1.3528606e-13],[4.4890263e-14],[7.709303e-18],[1.181293e-19],[1.3055927e-11]
680000,11,37,[8.802185e-06],[3.538799e-12],[4.18936e-18],[2.0852344e-23],[3.3364123e-19],[2.019647e-08]
680000,36,22,[1.0595955e-05],[1.2378457e-10],[2.2456591e-29],[1.6271187e-38],[8.852509e-16],[3.0615908e-08]
680000,19,20,[1.2691311e-05],[8.4727836e-10],[1.5479917e-14],[2.6271558e-18],[4.6705174e-13],[6.7506944e-11]
680000,29,8,[8.77937e-06],[1.3819547e-10],[7.732332e-15],[1.312069e-18],[1.0294395e-15],[6.8651966e-11]
680000,13,24,[8.596131e-06],[5.2354197e-12],[4.177952e-09],[1.3433833e-10],[7.023562e-11],[1.1019671e-11]
680000,23,34,[9.300663e-06],[1.8553134e-10],[8.859498e-16],[2.6120866e-20],[1.2481218e-15],[2.4100244e-08]
680000,20,37,[9.918737e-06],[3.5093731e-12],[1.4756159e-15],[2.3678055e-19],[3.5510796e-19],[6.4080734e-11]
680000,28,29,[9.13804e-06],[4.7220717e-11],[4.5969543e-13],[4.4334607e-16],[2.8893493e-16],[6.191672e-11]
680000,28,31,[9.012063e-06],[6.027568e-12],[1.4037103e-12],[1.4129991e-15],[7.811109e-17],[2.9582232e-09]
680000,39,28,[1.001878e-05],[6.680922e-11],[3.133441e-20],[2.6063872e-26],[4.2766095e-16],[1.4989265e-10]
680000,33,37,[9.358719e-06],[2.7192992e-10],[3.79151e-12],[3.799467e-15],[2.1095135e-15],[3.4461364e-10]
680000,34,18,[8.809707e-06],[1.4603526e-08],[5.5019333e-21],[4.5359544e-27],[5.8848665e-10],[1.707665e-08]
680000,17,32,[1.080457e-05],[2.493043e-16],[3.6921732e-16],[5.9196676e-20],[6.888878e-22],[3.3129226e-12]
680000,36,16,[1.0601569e-05],[2.0371657e-10],[8.618765e-23],[1.2328535e-29],[1.5266281e-15],[1.2696932e-11]
680000,19,19,[1.1759895e-05],[9.977781e-11],[4.840948e-16],[1.4061812e-20],[7.626567e-16],[7.218275e-13]
680000,27,27,[8.862701e-06],[1.8549584e-09],[1.2407544e-10],[7.00888e-13],[9.455879e-13],[4.4879977e-07]
680000,33,40,[8.786545e-06],[1.6927902e-09],[1.780661e-10],[1.024939e-12],[1.0128263e-12],[2.7172376e-08]
680000,20,20,[1.1369723e-05],[3.3574046e-11],[1.0468702e-12],[1.0400883e-15],[3.0833243e-16],[4.2893005e-09]
680000,39,26,[1.16108495e-05],[2.6232754e-11],[2.9724662e-24],[7.335091e-32],[1.6679296e-16],[1.264055e-09]
680000,8,18,[8.575501e-06],[1.4544915e-08],[9.7348817e-11],[5.6351153e-13],[5.1743465e-10],[2.2348507e-08]
680000,22,14,[8.567133e-06],[3.5420787e-12],[1.2090563e-18],[3.160136e-23],[3.0281583e-19],[4.4573977e-07]
680000,17,14,[9.963033e-06],[1.7297096e-09],[7.163478e-22],[1.0514728e-28],[4.7295956e-13],[5.406136e-10]
680000,12,9,[9.308216e-06],[2.5158516e-11],[1.1635576e-10],[6.8238546e-13],[1.3094116e-13],[1.5436575e-08]
680000,8,8,[8.535113e-06],[2.908148e-07],[5.1936794e-16],[1.511087e-20],[4.0452994e-07],[1.1658732e-08]
680000,41,33,[9.150309e-06],[9.457156e-14],[8.438596e-15],[7.676167e-18],[2.805302e-19],[1.4727616e-12]
680000,16,21,[8.589622e-06],[1.6865606e-09],[1.9463929e-10],[1.1270132e-12],[1.1388626e-12],[2.7971643e-09]
680000,30,10,[1.0934696e-05],[1.5256182e-11],[1.8175314e-14],[2.959706e-18],[5.5783115e-17],[6.299883e-12]
680000,29,12,[8.785563e-06],[3.4525473e-11],[2.0135248e-12],[1.9684599e-15],[3.1858987e-16],[2.2510929e-10]
680000,11,13,[9.067023e-06],[1.4327333e-09],[1.0962914e-19],[9.4050456e-26],[6.6100115e-13],[5.3327893e-12]
680000,25,19,[8.9512205e-06],[6.777514e-14],[3.987983e-12],[3.9566895e-15],[2.0443058e-16],[1.2755576e-12]
680000,39,9,[8.609992e-06],[1.45084735e-08],[5.874963e-09],[1.9458705e-10],[6.1586947e-10],[2.7277494e-09]
680000,19,17,[9.49321e-06],[2.4447764e-13],[8.28817e-20],[7.046773e-26],[3.542541e-22],[2.0386748e-10]
680000,7,27,[8.516703e-06],[1.4565102e-08],[4.602477e-19],[2.2416163e-24],[3.499734e-10],[3.765519e-07]
680000,10,40,[8.750235e-06],[3.1633574e-11],[1.6761309e-18],[8.340983e-24],[1.9362448e-16],[3.8065545e-12]
680000,13,27,[8.595142e-06],[4.403442e-15],[4.607657e-13],[4.436349e-16],[2.0595275e-17],[2.8221194e-08]
680000,27,20,[8.998363e-06],[7.709371e-11],[1.8034674e-10],[1.0390681e-12],[1.8551586e-13],[1.3973262e-11]
680000,22,7,[1.0541943e-05],[8.0376816e-11],[2.0946676e-10],[1.2162612e-12],[2.2592286e-13],[1.4407379e-08]
680000,22,8,[1.0542537e-05],[3.1193273e-12],[7.1597825e-11],[3.8103917e-13],[5.711156e-14],[2.0704425e-09]
680000,20,34,[9.956823e-06],[4.7670675e-15],[1.0415676e-17],[2.8580615e-22],[1.0206736e-24],[4.0849103e-13]
680000,40,42,[8.787282e-06],[1.5224967e-09],[2.0826372e-14],[3.5651795e-18],[6.845936e-13],[1.5406526e-10]
680000,40,23,[8.6896125e-06],[1.635128e-08],[7.593826e-24],[2.7811072e-29],[5.102688e-10],[2.298436e-08]
680000,11,32,[1.0745256e-05],[1.5796525e-13],[1.0024679e-27],[3.887709e-36],[2.0679837e-22],[3.9625406e-10]
