mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
660000,8,8,0,1.706838e-05,1.8926308e-11,3.4772353e-14,5.8938484e-18,7.353996e-17,1.561802e-11
660000,25,29,0,1.1638426e-05,6.904334e-08,0.0,0.0,2.3119426e-09,3.6740432e-33
660000,16,8,0,1.7505368e-05,1.0055797e-08,6.290435e-17,1.7900887e-21,5.085535e-12,1.7541083e-11
660000,12,8,0,1.3986636e-05,8.441679e-08,1.0407656e-14,1.7206446e-18,2.0211561e-09,1.8740882e-10
660000,32,30,0,1.3151494e-05,1.0769581e-08,1.1876599e-36,0.0,4.8446572e-12,1.904523e-24
660000,25,24,0,1.4253772e-05,1.940621e-08,0.0,0.0,9.910673e-12,4.94412e-40
660000,18,42,0,9.025815e-06,2.2011934e-08,5.1266227e-09,1.6730604e-10,6.164901e-10,1.0136207e-06
660000,7,24,0,1.4415936e-05,8.29576e-12,1.4375862e-14,2.3720062e-18,6.8525937e-19,5.005636e-11
660000,20,25,0,1.1203307e-05,3.309766e-08,0.0,0.0,1.0832578e-09,5.823902e-37
660000,13,17,0,1.4837254e-05,2.2590546e-08,1.22815585e-24,3.07945e-32,1.0508668e-11,3.7457004e-21
660000,33,8,0,1.4397482e-05,8.5507207e-10,1.4570571e-22,2.795927e-29,4.5388186e-13,5.2687128e-08
660000,19,16,0,1.7380464e-05,3.3722138e-08,3.022757e-34,7e-45,1.5825253e-11,1.3438124e-22
660000,24,39,0,1.2496944e-05,1.6150269e-08,8.200427e-24,2.4941597e-31,5.88561e-10,1.0088656e-12
660000,36,18,0,1.1072044e-05,8.1344026e-10,5.005357e-28,1.15548964e-35,4.914456e-15,4.6958416e-14
660000,31,28,0,1.2532452e-05,1.1556348e-07,1.2169411e-36,0.0,3.779346e-09,1.4791517e-29
660000,31,38,0,1.3347582e-05,3.550232e-11,7.902044e-23,1.3144574e-29,2.4478301e-17,3.9609175e-15
660000,31,30,0,1.22857955e-05,1.16652465e-07,3.073507e-39,0.0,3.7800043e-09,1.4445222e-26
660000,12,18,0,1.4022931e-05,1.1512873e-08,2.8674479e-24,7.186212e-32,5.255688e-12,2.7565798e-18
660000,37,15,0,1.15799585e-05,1.08745006e-07,3.102966e-23,2.8915106e-29,3.200364e-09,5.86371e-13
660000,7,40,0,9.1898e-06,5.7173977e-10,1.9284956e-11,1.0381974e-13,2.485771e-13,5.5042417e-08
660000,24,11,0,1.1341883e-05,1.711802e-08,5.900864e-24,5.6689315e-31,7.956822e-12,3.0947698e-15
660000,15,35,0,1.5958369e-05,3.3718772e-09,3.4898272e-23,1.4912458e-28,2.3825448e-14,2.920657e-13
660000,39,21,0,1.41121955e-05,1.2455937e-08,1.7539128e-27,4.044788e-35,5.5944273e-12,9.898417e-13
660000,41,39,0,1.5584244e-05,2.3163972e-11,9.338049e-14,8.6235544e-17,5.60736e-18,1.9252349e-09
660000,30,38,0,1.6114805e-05,2.748122e-10,2.3112406e-21,1.8609972e-27,5.439443e-14,1.0647485e-14
660000,8,22,0,1.616976e-05,1.6574139e-13,4.3195173e-13,4.1667946e-16,1.9226185e-17,1.6689171e-12
660000,35,31,0,1.557802e-05,1.2728672e-08,1.0504523e-27,4.4140778e-36,4.9163746e-12,3.5559916e-17
660000,7,8,0,1.2958666e-05,8.864509e-12,3.2945847e-12,3.2555478e-15,1.711232e-16,4.434021e-10
660000,19,36,0,1.6632164e-05,1.1278857e-08,1.677171e-24,2.9728426e-31,5.2539427e-12,6.57212e-14
660000,40,9,0,1.4646259e-05,5.8322822e-08,7.4707743e-17,2.0996114e-21,1.9228885e-09,3.149258e-08
660000,23,31,0,1.4492229e-05,2.8939948e-07,4.5276e-41,0.0,1.02547535e-08,1.3418185e-27
660000,40,39,0,1.789553e-05,2.909389e-10,2.8261064e-16,4.4615385e-20,2.1907419e-15,5.3272387e-11
660000,36,26,0,1.7667131e-05,1.4829951e-08,2.505265e-27,1.389216e-35,7.019825e-12,5.148316e-19
660000,36,40,0,1.2078999e-05,7.656445e-10,2.5216128e-21,2.0468094e-27,5.1624646e-15,3.0412712e-12
660000,41,14,0,1.2009272e-05,1.5256996e-09,7.231918e-15,5.1444215e-18,1.03851466e-14,2.652328e-08
660000,14,14,0,1.6061686e-05,2.454984e-07,3.071055e-25,7.698673e-33,8.418495e-09,4.6073582e-20
