mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
430000,147,190,[2.7680818e-08],[2.6414383e-11],[3.5977176e-27],[6.11179e-40],[6.2628253e-19],[2.7949223e-10]
430000,91,111,[3.536593e-08],[3.4285477e-11],[2.0841545e-25],[1.3028207e-37],[2.2725706e-18],[2.0775279e-10]
430000,135,29,[2.7555256e-08],[2.9783456e-10],[1.7957265e-22],[1.6614981e-32],[1.6473517e-14],[8.258984e-11]
430000,144,67,[2.8681898e-08],[1.2552875e-09],[1.7201672e-11],[1.1303025e-14],[2.5262395e-10],[4.025468e-11]
430000,197,67,[3.4621827e-08],[2.471019e-10],[3.6219565e-12],[1.3345831e-15],[1.2663674e-15],[3.069134e-10]
430000,57,34,[2.7801526e-08],[7.487217e-11],[2.9537258e-11],[8.1306015e-14],[4.164985e-15],[2.859863e-10]
430000,214,122,[3.5959534e-08],[1.4174911e-10],[1.0024825e-21],[4.8169385e-33],[3.1427308e-14],[4.2736377e-11]
430000,72,61,[2.9219818e-08],[3.165527e-10],[5.0120205e-18],[3.633067e-25],[2.517869e-12],[2.0819133e-10]
430000,152,139,[2.8361761e-08],[1.1421e-11],[3.8838776e-12],[2.1333205e-15],[3.2580285e-17],[8.587366e-13]
430000,205,220,[2.7406706e-08],[1.11165875e-10],[5.3395283e-12],[3.3780004e-15],[5.3456067e-15],[1.0937377e-09]
430000,111,215,[2.8093483e-08],[9.4336e-11],[2.7123158e-15],[5.492929e-21],[1.5735138e-16],[3.1575825e-10]
430000,216,56,[2.8099475e-08],[9.382107e-11],[2.0863606e-14],[6.503022e-20],[1.4461992e-16],[1.2498873e-10]
430000,78,110,[2.7051383e-08],[2.3977248e-10],[4.8993615e-10],[9.250497e-12],[1.8137587e-12],[1.5788435e-11]
430000,31,149,[2.9457103e-08],[1.524591e-09],[2.412935e-12],[3.0224862e-16],[5.9675585e-12],[1.1760418e-10]
430000,164,98,[3.7370445e-08],[1.310588e-10],[1.827432e-13],[2.9799072e-18],[3.6480286e-14],[3.9222583e-16]
430000,146,51,[3.466803e-08],[1.441035e-11],[2.276126e-11],[1.7180196e-14],[2.9016527e-16],[4.7034364e-12]
430000,37,96,[3.657257e-08],[1.911077e-10],[2.8799168e-16],[7.958455e-24],[4.9507233e-16],[3.9712036e-11]
430000,187,196,[2.9921054e-08],[1.6810137e-10],[1.314787e-12],[1.2962573e-16],[6.062185e-15],[8.3759183e-10]
430000,156,68,[2.846236e-08],[1.419449e-11],[5.743737e-14],[2.2396853e-19],[3.6864294e-21],[2.3911394e-11]
430000,67,66,[3.2218022e-08],[4.295828e-10],[6.641533e-11],[1.6931867e-13],[2.0670269e-14],[4.868808e-10]
430000,58,62,[3.057393e-08],[7.071222e-11],[1.1289072e-13],[1.9954006e-18],[5.58939e-17],[2.2294852e-10]
430000,181,162,[3.822465e-08],[3.0885655e-11],[6.436661e-14],[9.923678e-19],[4.1559382e-19],[8.886753e-10]
430000,35,95,[3.8343998e-08],[1.5699358e-10],[3.5741773e-17],[1.7698128e-25],[9.017452e-17],[2.6140928e-12]
430000,221,66,[3.1427927e-08],[1.00314115e-11],[1.0281321e-13],[7.378156e-18],[3.3283925e-20],[3.7928918e-10]
430000,201,104,[3.6015503e-08],[2.7044133e-11],[4.877638e-13],[3.6826984e-17],[1.5833639e-19],[3.6257143e-12]
430000,57,218,[3.4266506e-08],[1.0740774e-10],[3.7152403e-11],[7.4173896e-14],[8.608559e-15],[6.167912e-11]
430000,95,85,[2.8859798e-08],[2.3116116e-10],[2.4039854e-21],[3.2746745e-31],[1.3573277e-15],[4.568963e-12]
430000,169,47,[2.6161814e-08],[1.00257073e-10],[1.8205388e-13],[3.678857e-18],[5.7813006e-16],[5.20554e-10]
430000,70,33,[3.272171e-08],[6.505757e-10],[9.41087e-13],[8.4507226e-17],[2.5943697e-10],[2.2669774e-12]
430000,142,34,[4.1653994e-08],[3.2025587e-11],[1.226313e-22],[5.417273e-34],[2.828981e-20],[8.7638724e-10]
430000,139,84,[2.9315427e-08],[5.5465344e-13],[1.6713188e-17],[1.4878958e-24],[2.5454716e-27],[1.0186077e-15]
430000,63,74,[3.2147163e-08],[1.6324542e-10],[1.8667087e-17],[1.2053747e-24],[2.2606484e-16],[3.293816e-10]
430000,129,147,[4.18247e-08],[3.4607542e-10],[2.268646e-10],[3.3045626e-12],[1.5552426e-12],[4.370157e-10]
