mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
300000,341,180,[2.3144815e-09],[5.4277597e-14],[1.1089544e-31],[0.],[1.577116e-31],[3.5297737e-14]
300000,96,202,[2.1844924e-09],[3.144701e-12],[3.2796412e-20],[1.12451544e-32],[3.0385168e-22],[6.974259e-13]
300000,233,207,[2.0073425e-09],[2.2745456e-31],[0.],[0.],[0.],[2.1017425e-20]
300000,200,206,[2.2172881e-09],[4.030383e-23],[0.],[0.],[0.],[2.1087214e-17]
300000,326,59,[2.2467068e-09],[1.625329e-10],[6.959858e-17],[5.1212562e-24],[9.7542086e-11],[6.224688e-13]
300000,57,236,[2.0797981e-09],[6.239772e-11],[6.7192564e-11],[8.014075e-13],[3.2940106e-13],[1.3739562e-14]
300000,165,369,[2.3367137e-09],[1.7613853e-11],[4.998138e-38],[0.],[3.7398546e-17],[2.6468574e-17]
300000,356,130,[2.8147227e-09],[8.608197e-11],[1.3042465e-11],[1.1184087e-14],[4.2176816e-15],[6.0723497e-12]
300000,282,176,[2.457876e-09],[6.2822384e-20],[0.],[0.],[0.],[1.6863861e-13]
300000,439,331,[4.01565e-09],[5.0595006e-12],[3.2889937e-11],[1.1237907e-13],[2.3369328e-15],[8.5976056e-13]
300000,221,275,[2.379934e-09],[2.2874962e-17],[1.3366761e-18],[7.707634e-28],[1.6732698e-34],[2.4067951e-18]
300000,239,178,[3.248078e-09],[5.000808e-25],[0.],[0.],[0.],[7.734316e-39]
300000,156,145,[2.79086e-09],[1.9050113e-12],[8.604836e-17],[1.8400413e-24],[8.565266e-23],[2.1187183e-13]
300000,274,270,[2.3184785e-09],[7.525733e-15],[1.3916915e-30],[0.],[1.2766858e-37],[1.5654465e-19]
300000,201,157,[2.4651239e-09],[2.340635e-12],[1.4694948e-10],[1.1928999e-11],[3.1021043e-12],[4.706146e-13]
300000,442,317,[2.9957274e-09],[3.444488e-11],[3.0389433e-18],[3.5501487e-27],[4.9514843e-17],[3.7680884e-14]
300000,142,318,[2.7199183e-09],[5.2544427e-15],[8.473652e-28],[1.7e-44],[4.4281783e-38],[8.223684e-15]
300000,323,160,[2.3948752e-09],[4.217984e-12],[7.37605e-21],[1.6170426e-30],[1.1585982e-21],[3.5164943e-16]
300000,56,81,[4.325806e-09],[1.14535534e-10],[1.2309515e-13],[1.810237e-18],[1.8418903e-10],[2.0644594e-11]
300000,272,252,[2.2494056e-09],[1.2939216e-12],[4.7910878e-27],[4.26e-43],[2.1350617e-25],[2.05761e-18]
300000,254,109,[2.8152156e-09],[9.296664e-13],[1.7734029e-12],[1.4246787e-16],[2.1332876e-19],[1.918973e-15]
300000,387,144,[2.103666e-09],[1.2001525e-14],[1.0378112e-13],[1.3148271e-18],[5.5398124e-22],[2.8423503e-11]
300000,270,314,[2.2853588e-09],[5.5836153e-21],[1.163e-42],[0.],[0.],[3.3807785e-16]
300000,258,361,[2.9133105e-09],[5.213202e-12],[3.27e-43],[0.],[2.1820016e-22],[5.765738e-16]
300000,91,148,[2.3470723e-09],[4.691305e-11],[2.367794e-14],[8.9028564e-20],[1.9397198e-14],[1.10412304e-10]
300000,190,373,[2.7543121e-09],[1.1785873e-11],[4.223995e-21],[1.9019949e-33],[3.2932629e-18],[9.33092e-12]
300000,126,228,[2.9266474e-09],[5.63217e-12],[1.10811506e-20],[1.854038e-33],[1.4055304e-20],[1.5901606e-11]
300000,236,392,[2.4910578e-09],[9.789754e-13],[7.1431233e-20],[1.0872931e-27],[2.7526552e-27],[1.6719169e-15]
300000,76,141,[2.9756537e-09],[7.524767e-12],[1.2126416e-18],[4.4786282e-29],[1.1764506e-20],[2.4531672e-11]
300000,362,154,[2.6908686e-09],[1.5119362e-13],[2.5452718e-32],[0.],[6.808801e-31],[6.375662e-11]
300000,198,286,[2.2077806e-09],[1.1271968e-14],[0.],[0.],[2.7452826e-34],[1.6274472e-10]
300000,278,67,[2.2684443e-09],[1.18027975e-11],[3.747316e-17],[2.4230367e-26],[2.7062366e-18],[3.6225466e-13]
300000,402,303,[2.2598752e-09],[6.450898e-11],[1.4922518e-26],[5.7565e-41],[8.950228e-16],[4.504696e-11]
300000,325,377,[2.3284552e-09],[1.664656e-14],[2.3697603e-27],[1.28e-43],[3.6357538e-35],[1.0974591e-11]
300000,156,224,[2.232197e-09],[4.994773e-14],[1.2773423e-22],[5.4906605e-37],[6.575687e-34],[3.289448e-18]
300000,212,217,[3.3568401e-09],[3.0284197e-31],[0.],[0.],[0.],[2.6050793e-12]
300000,207,105,[2.0293631e-09],[3.842079e-11],[6.875608e-18],[6.8561935e-27],[3.3301661e-15],[5.210611e-14]
300000,273,118,[1.9548363e-09],[3.0668857e-12],[1.586791e-31],[0.],[2.3721002e-23],[9.16769e-11]
300000,64,211,[3.0602265e-09],[2.991213e-12],[1.6213027e-24],[1.347227e-39],[2.9177144e-23],[4.3833125e-15]
300000,79,76,[2.0449278e-09],[2.3031245e-11],[3.3715015e-26],[8.005335e-39],[5.8458008e-18],[2.1776147e-11]
300000,403,106,[3.4267518e-09],[4.402407e-11],[4.830514e-15],[6.7665434e-22],[1.0094335e-15],[1.5600183e-16]
300000,406,371,[2.1808728e-09],[4.8935634e-12],[5.8264987e-13],[8.6255145e-17],[3.4543657e-19],[1.8038975e-19]
300000,405,360,[2.1781503e-09],[1.5832405e-11],[2.583698e-22],[1.3732638e-36],[5.3788345e-19],[5.0789477e-16]
300000,301,146,[2.5509275e-09],[3.4579885e-12],[1.5772078e-37],[0.],[7.664964e-24],[1.2434473e-14]
300000,324,71,[2.4801596e-09],[2.6143152e-14],[1.6820726e-29],[1.5e-44],[4.8896025e-24],[2.0365955e-12]
300000,55,305,[2.166833e-09],[1.4006865e-12],[2.9037348e-15],[2.165983e-22],[4.1716262e-24],[7.08491e-11]
300000,126,331,[2.9368972e-09],[1.3528755e-13],[1.1526134e-21],[9.670023e-35],[6.899607e-31],[6.361298e-11]
300000,105,160,[1.944162e-09],[2.3789932e-11],[2.274172e-20],[1.8413123e-32],[4.260145e-16],[4.7926385e-12]
300000,304,84,[2.9594116e-09],[2.1675429e-11],[1.4924416e-15],[5.4138077e-22],[2.2381634e-18],[8.6396236e-14]
300000,367,423,[2.2330964e-09],[3.2756377e-11],[6.403571e-16],[1.6194161e-24],[1.6160862e-19],[7.944702e-13]
300000,115,357,[2.1398412e-09],[5.8366853e-12],[1.1347513e-10],[5.242498e-12],[1.2370399e-12],[1.816362e-11]
300000,88,319,[2.3375217e-09],[2.0456295e-11],[4.3479842e-16],[3.1042677e-24],[1.0597328e-16],[2.0594652e-14]
