mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
170000,18,35,[4.6727478e-06],[2.087384e-17],[3.7160513e-25],[2.6662532e-31],[1.2086767e-26],[3.3997857e-15]
170000,25,24,[5.024577e-06],[6.432855e-11],[1.6132168e-22],[7.0306544e-28],[1.598445e-14],[5.9969314e-11]
170000,31,19,[4.56638e-06],[5.1251643e-09],[5.177096e-16],[4.6891623e-19],[8.9787976e-11],[1.4127568e-15]
170000,38,26,[5.091054e-06],[1.4021572e-15],[1.851672e-29],[3.96707e-37],[4.2794303e-23],[1.0206417e-14]
170000,10,16,[4.6319974e-06],[3.7592515e-13],[4.354129e-23],[1.8103037e-28],[1.0044084e-18],[2.3863213e-16]
170000,27,40,[4.5659654e-06],[7.3415727e-09],[1.8616156e-29],[1.7642438e-36],[1.3830437e-10],[5.7768873e-11]
170000,41,12,[4.5989245e-06],[3.3192335e-14],[1.1868359e-32],[1.91329e-40],[1.5840839e-21],[5.9360616e-13]
170000,15,14,[4.665976e-06],[3.2817283e-07],[9.662561e-22],[4.420452e-27],[4.058788e-07],[2.8064674e-13]
170000,11,33,[5.0770714e-06],[3.3088967e-19],[1.4005381e-33],[4.125e-42],[2.575135e-30],[5.8821695e-16]
170000,23,26,[4.6316745e-06],[7.586089e-16],[2.1184113e-23],[5.504973e-29],[3.265044e-23],[9.252404e-11]
170000,35,8,[4.565989e-06],[1.5067308e-12],[2.7589912e-12],[1.4705248e-14],[1.9188513e-15],[6.5992363e-12]
170000,24,27,[4.633431e-06],[2.7483329e-15],[8.921535e-19],[2.4145997e-23],[1.2130106e-22],[1.040366e-10]
170000,23,32,[4.6105633e-06],[1.1636459e-10],[1.1083474e-13],[1.02590175e-16],[2.8796488e-14],[2.0434098e-13]
170000,19,36,[4.7670246e-06],[7.582064e-18],[3.7160513e-25],[2.6662532e-31],[3.6730065e-27],[1.1338356e-18]
170000,42,41,[4.5723878e-06],[8.079225e-09],[5.15227e-14],[4.737319e-17],[1.3986894e-10],[2.127664e-09]
170000,41,37,[4.610632e-06],[1.9550772e-14],[1.0656341e-24],[8.152158e-31],[9.321781e-22],[5.4922893e-09]
170000,32,38,[4.636829e-06],[1.1696333e-12],[7.424708e-19],[1.9923542e-23],[3.9039777e-18],[8.0539916e-17]
170000,18,37,[4.696903e-06],[6.681786e-14],[9.8869163e-20],[2.597259e-24],[2.090484e-19],[2.8061798e-18]
170000,12,39,[4.577596e-06],[6.5291213e-13],[5.9003227e-15],[5.388985e-18],[2.3370404e-18],[3.3867285e-18]
170000,21,33,[4.676088e-06],[3.2422316e-15],[4.7215813e-21],[2.1790406e-26],[1.4398412e-22],[7.29672e-16]
170000,16,13,[4.702517e-06],[3.2624865e-08],[2.4083493e-21],[1.10209546e-26],[5.5092825e-10],[9.3557195e-14]
170000,11,15,[4.663962e-06],[1.3454044e-11],[1.3559808e-28],[1.1495419e-35],[2.952449e-15],[1.5843054e-16]
170000,40,39,[4.5744628e-06],[1.1674395e-13],[8.680596e-24],[6.6471855e-30],[3.590758e-19],[7.660357e-11]
170000,18,11,[4.568946e-06],[2.9351243e-16],[2.4083505e-21],[1.10209546e-26],[1.7696866e-25],[6.5951073e-12]
170000,12,34,[4.637231e-06],[4.112883e-15],[5.443715e-28],[6.335588e-35],[1.8183563e-22],[1.7545264e-12]
170000,35,25,[4.578505e-06],[7.4742136e-11],[1.5229437e-25],[1.1694426e-31],[1.8853522e-14],[1.7544078e-12]
170000,18,24,[4.598955e-06],[2.1991614e-16],[8.4199716e-26],[5.598076e-32],[1.4890436e-25],[3.3985594e-14]
170000,42,29,[4.5664847e-06],[3.900438e-18],[2.408879e-14],[2.2038237e-17],[8.2133146e-19],[1.5303338e-12]
170000,39,12,[4.6008554e-06],[8.6453955e-11],[5.444749e-34],[1.483e-42],[2.1955143e-14],[5.936059e-13]
170000,36,27,[4.5791603e-06],[2.4658196e-14],[6.7358886e-22],[3.0653582e-27],[7.2099195e-20],[3.4114536e-15]
170000,33,13,[4.5660813e-06],[2.3447616e-16],[5.8223062e-21],[1.5141197e-25],[1.5251584e-25],[8.592987e-19]
170000,27,23,[4.7039584e-06],[1.3794281e-08],[1.3176965e-21],[2.7968105e-26],[2.5720165e-10],[1.3234116e-15]
170000,41,35,[5.0777726e-06],[1.6374406e-14],[1.0603463e-24],[8.145327e-31],[7.83356e-22],[3.9581486e-13]
170000,23,37,[4.56995e-06],[6.64241e-15],[2.0162635e-26],[2.6754402e-33],[2.8930039e-22],[2.4401373e-10]
170000,38,29,[4.6340992e-06],[1.2827459e-09],[2.2454e-21],[1.0217958e-26],[2.0230042e-11],[1.1674355e-16]
170000,11,10,[4.6330597e-06],[4.460968e-18],[2.2183739e-16],[3.4997944e-20],[3.810531e-22],[2.4205032e-22]
170000,11,37,[4.5726706e-06],[2.9786797e-15],[1.6082343e-22],[7.026747e-28],[1.3126917e-22],[4.0577963e-16]
170000,36,22,[5.0123463e-06],[2.1764235e-12],[2.7057575e-36],[1.e-45],[7.702663e-18],[8.0279925e-09]
170000,39,25,[5.08497e-06],[1.7471089e-11],[3.9984716e-33],[1.2267e-41],[3.680809e-15],[1.5235605e-14]
170000,19,20,[5.460267e-06],[9.7220336e-11],[1.1369281e-17],[1.7673687e-21],[2.5279902e-14],[6.360852e-20]
170000,29,8,[4.572467e-06],[3.929689e-12],[5.259842e-18],[8.167708e-22],[1.4092446e-17],[1.026652e-23]
170000,13,24,[4.5679462e-06],[1.0516369e-20],[4.354129e-23],[1.8103037e-28],[1.5022073e-31],[3.781253e-15]
170000,23,34,[4.6086952e-06],[2.1661423e-12],[1.7842826e-18],[4.8291976e-23],[7.203636e-18],[2.2289068e-16]
170000,20,37,[4.6684945e-06],[1.2212138e-14],[2.229637e-25],[1.5997521e-31],[5.754428e-22],[4.723961e-15]
170000,28,29,[4.604705e-06],[6.7897524e-14],[1.7842826e-18],[4.8291976e-23],[2.0904928e-19],[6.8312856e-15]
170000,28,31,[4.599593e-06],[2.1625844e-14],[3.69464e-14],[3.4196765e-17],[1.3364456e-18],[9.513418e-11]
170000,39,28,[4.6725095e-06],[2.4102334e-14],[4.306776e-25],[3.0794567e-31],[7.209882e-20],[1.3874412e-12]
170000,33,37,[4.6329897e-06],[4.085162e-12],[6.37426e-14],[5.8706834e-17],[1.6369415e-17],[1.1441678e-18]
170000,34,18,[4.5727634e-06],[7.717878e-09],[5.635201e-28],[2.5558487e-34],[1.4788758e-10],[2.1840243e-11]
170000,17,32,[5.018216e-06],[1.2110915e-21],[8.965238e-30],[1.9921343e-37],[1.1802113e-34],[1.8067432e-18]
170000,36,16,[5.0125086e-06],[5.580935e-12],[3.4259452e-33],[0.],[1.997316e-17],[3.723091e-16]
170000,19,19,[5.110053e-06],[2.7516735e-12],[6.5450285e-20],[1.7085913e-24],[9.857916e-18],[5.9052495e-20]
170000,27,27,[4.5743354e-06],[3.2896234e-11],[4.7215813e-21],[2.1790406e-26],[7.35377e-15],[9.7191505e-17]
170000,33,40,[4.573752e-06],[1.1046728e-10],[1.5088305e-12],[8.015182e-15],[2.7727654e-14],[1.9313478e-15]
170000,20,20,[5.0774324e-06],[9.17591e-13],[5.9003256e-15],[5.388985e-18],[3.4854756e-18],[2.2921233e-22]
170000,39,26,[5.4919974e-06],[7.767771e-14],[2.318459e-30],[4.4349207e-38],[2.0960038e-19],[1.388286e-12]
170000,8,18,[4.5665556e-06],[3.5952288e-09],[2.0906907e-12],[1.1124679e-14],[6.021503e-11],[5.778905e-16]
170000,22,14,[4.5663883e-06],[4.6275273e-15],[7.432209e-26],[5.3325085e-32],[2.042407e-22],[1.4854945e-09]
170000,17,14,[4.6702316e-06],[1.0109913e-10],[1.7051381e-26],[2.2169583e-33],[2.5292633e-14],[2.806463e-13]
170000,12,9,[4.631103e-06],[6.680539e-14],[9.625925e-12],[5.1907067e-14],[7.0785815e-15],[1.3287944e-17]
170000,8,8,[4.5660295e-06],[3.9837442e-16],[9.887078e-20],[2.5972602e-24],[2.6766724e-25],[1.8014666e-14]
170000,41,33,[4.6048176e-06],[2.4815253e-17],[3.7359516e-22],[1.6511479e-27],[1.372579e-26],[6.010245e-17]
170000,16,21,[4.566471e-06],[1.943855e-10],[4.1813558e-12],[2.2249355e-14],[5.3436144e-14],[3.830532e-11]
170000,30,10,[5.0235476e-06],[3.534327e-14],[5.8221767e-20],[1.5141187e-24],[1.7467552e-21],[8.593856e-20]
170000,29,12,[4.5724887e-06],[5.096458e-13],[3.3309307e-22],[5.2933445e-27],[1.6889277e-18],[1.8443638e-18]
170000,11,13,[4.6013e-06],[1.3404202e-11],[8.296572e-24],[6.407674e-30],[2.9524701e-15],[1.5843059e-16]
170000,25,19,[4.577995e-06],[1.4360354e-18],[1.821843e-14],[1.6635864e-17],[6.1530026e-19],[1.8204086e-19]
170000,39,9,[4.568004e-06],[2.479681e-09],[3.7117157e-26],[2.5753092e-32],[4.0300926e-11],[7.660442e-11]
170000,19,17,[4.6342357e-06],[4.397837e-16],[4.558038e-25],[3.2260608e-31],[2.9770484e-25],[1.3048719e-15]
170000,7,27,[4.565964e-06],[1.3393681e-11],[8.8425214e-36],[2.1e-44],[2.952446e-15],[7.302005e-16]
170000,10,40,[4.5721713e-06],[2.2258858e-13],[6.432997e-23],[2.8106998e-28],[7.127331e-19],[1.4187432e-20]
170000,13,27,[4.567942e-06],[1.4153356e-19],[4.7473095e-32],[7.65318e-40],[1.1036016e-30],[2.8190577e-09]
170000,27,20,[4.579615e-06],[1.5440489e-13],[1.2322246e-12],[6.52396e-15],[8.270458e-16],[1.0111401e-17]
170000,22,7,[5.0119165e-06],[4.649609e-13],[8.687093e-12],[4.6456755e-14],[6.1287543e-15],[1.2716767e-19]
170000,22,8,[5.011917e-06],[3.0657413e-15],[2.408879e-14],[2.2038237e-17],[8.214529e-19],[5.1544405e-19]
170000,20,34,[4.647708e-06],[5.830876e-19],[4.0324912e-26],[5.3508793e-33],[4.8563106e-30],[2.246873e-20]
170000,40,42,[4.573753e-06],[2.2835131e-11],[7.532279e-17],[1.18521855e-20],[4.9139892e-15],[3.4026066e-14]
170000,40,23,[4.572339e-06],[3.2907828e-09],[4.1857073e-36],[1.e-45],[5.0342206e-11],[3.4583536e-15]
170000,11,32,[5.0177573e-06],[2.6687096e-17],[1.669221e-36],[1.e-45],[1.5869449e-26],[6.2304505e-18]
170000,26,22,[4.675955e-06],[1.573404e-11],[1.0150381e-19],[2.6531946e-24],[2.4725387e-15],[3.4467356e-16]
170000,19,15,[4.605283e-06],[2.2145199e-16],[1.2128882e-30],[2.2183247e-38],[1.4886481e-25],[1.3051764e-15]
170000,35,16,[5.0177746e-06],[1.0926733e-10],[1.0174462e-29],[2.6404443e-36],[2.8834438e-14],[3.3850564e-14]
170000,18,32,[5.0156923e-06],[1.488594e-21],[5.7608825e-27],[7.64412e-34],[1.6597499e-34],[2.6176694e-19]
170000,36,23,[5.0180233e-06],[1.167646e-13],[2.3967321e-33],[8.486e-42],[2.1154192e-19],[4.317051e-07]
170000,33,29,[4.5660195e-06],[6.533751e-10],[7.5053023e-19],[2.0124353e-23],[1.0134978e-11],[2.124558e-21]
170000,21,31,[4.605549e-06],[4.6501003e-13],[8.848039e-17],[1.4010661e-20],[1.4993821e-18],[3.2547638e-11]
170000,26,24,[5.1103893e-06],[6.0586265e-09],[3.7905627e-25],[2.681565e-31],[1.0930919e-10],[4.1823714e-13]
170000,40,35,[5.023645e-06],[7.6069276e-16],[6.6575493e-22],[3.0342472e-27],[2.0020769e-23],[9.243933e-15]
170000,28,35,[4.5666557e-06],[2.2485748e-11],[1.7438427e-23],[1.3674704e-29],[5.137036e-15],[2.184526e-11]
170000,15,31,[4.5722027e-06],[5.883178e-20],[9.72254e-30],[1.1313608e-36],[4.5657917e-31],[1.529503e-16]
170000,15,11,[4.5758384e-06],[2.4369703e-10],[7.7647714e-14],[7.1632716e-17],[5.730639e-14],[8.76512e-19]
170000,23,18,[4.571893e-06],[2.5021676e-20],[3.5108873e-12],[1.8744028e-14],[2.455737e-15],[5.2422204e-17]
170000,18,26,[4.598887e-06],[8.718679e-21],[1.107738e-31],[1.78574e-39],[1.0957786e-33],[2.8202614e-09]
170000,30,33,[4.5671436e-06],[4.4094573e-13],[6.840617e-22],[3.0735644e-27],[1.3038558e-18],[9.513454e-11]
170000,31,10,[5.0131393e-06],[1.1231405e-12],[3.1558495e-17],[4.9006222e-21],[3.9836654e-18],[3.9604776e-17]
170000,15,13,[9.307867e-07],[3.426587e-06],[5.032485e-19],[1.3548347e-23],[4.1219523e-06],[1.3048719e-15]
170000,28,45,[1.06321e-12],[3.7378885e-07],[5.5239266e-18],[8.2119506e-22],[4.159361e-07],[1.8173158e-13]
170000,33,30,[4.4596322e-07],[3.687613e-07],[2.6783476e-16],[4.213489e-20],[4.1584636e-07],[2.7462324e-19]
170000,47,27,[1.3567968e-13],[3.686638e-07],[1.0508638e-11],[5.62918e-14],[4.1584633e-07],[1.0480259e-13]
170000,17,43,[4.7488072e-14],[3.7114484e-07],[1.6082344e-22],[7.026747e-28],[4.1588663e-07],[4.2420285e-13]
170000,3,11,[1.2332658e-14],[3.6892322e-07],[5.9003227e-15],[5.388985e-18],[4.158464e-07],[2.187697e-18]
170000,39,43,[6.5117014e-08],[5.1251585e-09],[1.7139918e-16],[2.6992244e-20],[8.9787976e-11],[1.0405551e-13]
170000,32,7,[1.225528e-09],[3.0345936e-07],[5.5179403e-12],[2.9410488e-14],[4.0547584e-07],[1.0959648e-15]
170000,49,30,[1.8478678e-15],[3.6618024e-09],[3.1893077e-14],[2.9147744e-17],[6.022877e-11],[1.4343613e-09]
170000,19,32,[4.9693347e-07],[3.1531256e-19],[3.487476e-24],[2.734904e-30],[2.6637407e-30],[5.0920523e-18]
170000,10,25,[4.813573e-10],[1.3995312e-17],[2.230126e-34],[5.44e-43],[8.2198105e-27],[1.7271095e-15]
170000,3,18,[4.5300083e-12],[3.2870562e-12],[2.810855e-15],[2.5587139e-18],[1.2040292e-17],[2.1971704e-15]
170000,18,37,[4.696903e-06],[6.681786e-14],[9.8869163e-20],[2.597259e-24],[2.090484e-19],[2.8061798e-18]
170000,31,13,[4.1099455e-08],[1.8686426e-12],[6.4871464e-25],[1.2964758e-30],[6.433814e-18],[1.3836474e-23]
170000,46,48,[2.131029e-18],[4.138175e-09],[5.892142e-15],[5.3877102e-18],[7.011408e-11],[1.3292173e-11]
170000,28,41,[6.505274e-08],[3.5618564e-11],[7.844587e-24],[3.1112486e-29],[7.363685e-15],[1.1552244e-10]
170000,46,20,[5.8667884e-16],[4.6834807e-11],[3.2074313e-20],[8.2010394e-25],[1.02806735e-14],[5.447987e-14]
170000,23,0,[1.9131112e-15],[1.5662363e-16],[2.0754662e-09],[6.4770224e-11],[3.061552e-11],[3.270342e-18]
170000,33,34,[2.3960187e-09],[3.0143852e-07],[5.249308e-16],[8.2623246e-20],[4.0542753e-07],[1.2573183e-15]
170000,40,18,[7.591152e-12],[2.314477e-12],[1.3196208e-33],[2.126e-41],[8.027263e-18],[7.673251e-09]
170000,44,24,[2.3358116e-11],[8.492334e-09],[1.8629755e-23],[8.2516866e-29],[1.669554e-10],[6.004669e-13]
170000,18,43,[1.9127946e-13],[3.5096863e-07],[3.7160513e-25],[2.6662532e-31],[4.1340516e-07],[5.999635e-11]
170000,16,41,[5.3470917e-12],[3.1111486e-07],[1.770072e-14],[1.6166949e-17],[4.077314e-07],[4.6644206e-07]
170000,1,32,[3.0616244e-18],[3.330508e-07],[5.0324857e-19],[1.3548347e-23],[4.1095822e-07],[4.636236e-07]
170000,8,34,[5.419947e-10],[4.648475e-13],[8.499937e-27],[1.1057801e-33],[1.4992274e-18],[8.6736165e-09]
170000,30,44,[4.562246e-13],[6.4469437e-13],[1.0248119e-15],[9.297626e-19],[2.1968947e-18],[4.636236e-07]
170000,28,2,[4.5694815e-14],[9.2559294e-11],[5.4250574e-18],[8.185978e-22],[2.1889488e-14],[6.80956e-09]
170000,4,28,[3.9391695e-10],[9.068385e-11],[1.9037118e-32],[6.8672e-41],[2.1883054e-14],[7.348128e-10]
170000,1,39,[2.1698542e-18],[1.5568332e-17],[2.218445e-16],[3.4998112e-20],[3.8105162e-22],[1.0969083e-12]
170000,48,34,[3.6576564e-15],[2.1127905e-18],[3.0784874e-23],[1.3774212e-28],[1.9014259e-28],[3.0088453e-11]
170000,41,4,[1.3582289e-13],[7.64111e-11],[1.1847926e-09],[3.6851414e-11],[1.6877355e-11],[4.6373978e-07]
