time,xCOM,yCOM,il8,il1
0,33,22,3.7504083e-07,0.0
0,11,32,4.7933284e-09,0.0
0,30,35,8.997935e-09,0.0
0,17,40,1.781103e-08,0.0
0,21,23,4.7896207e-09,0.0
0,21,12,1.3506469e-08,0.0
0,40,16,9.038541e-09,0.0
0,35,19,4.2819917e-10,0.0
0,21,30,1.3560726e-08,0.0
0,18,37,4.843991e-09,0.0
0,24,18,9.200496e-09,0.0
0,41,24,4.7337547e-09,0.0
0,7,10,1.3449322e-08,0.0
0,24,25,8.881459e-09,0.0
0,33,23,9.041671e-09,0.0
0,40,31,4.6344857e-09,0.0
0,7,31,4.6775623e-09,0.0
0,33,37,9.410742e-09,0.0
0,25,27,2.7047883e-10,0.0
0,16,27,4.735122e-09,0.0
0,37,11,4.3306347e-10,0.0
0,23,20,1.3453289e-08,0.0
0,39,9,1.36076865e-08,0.0
0,21,32,9.094174e-09,0.0
0,11,21,1.09643176e-10,0.0
0,39,21,1.6724713e-10,0.0
0,18,10,8.884009e-09,0.0
0,10,29,1.3720154e-08,0.0
0,9,19,4.6844013e-09,0.0
0,22,22,9.198684e-09,0.0
0,9,14,2.209892e-10,0.0
0,36,21,9.14356e-09,0.0
0,28,15,4.2510817e-10,0.0
0,13,21,4.522393e-09,0.0
0,41,25,4.731981e-09,0.0
0,19,25,4.7339865e-09,0.0
0,39,38,1.3510189e-08,0.0
0,29,40,9.097812e-09,0.0
0,26,9,9.202343e-09,0.0
0,25,10,9.094902e-09,0.0
0,11,17,1.3715791e-08,0.0
0,24,41,1.13462066e-10,0.0
0,24,38,9.094898e-09,0.0
0,31,35,9.408904e-09,0.0
0,30,30,3.8498804e-10,0.0
0,14,29,4.632028e-09,0.0
0,14,31,1.3452625e-08,0.0
0,13,23,4.6306776e-09,0.0
0,8,7,4.6774207e-09,0.0
0,11,7,2.1284526e-10,0.0
0,21,14,1.3560749e-08,0.0
0,35,40,9.097267e-09,0.0
0,35,11,9.039921e-09,0.0
0,10,24,9.090987e-09,0.0
0,35,21,9.145509e-09,0.0
0,40,13,4.7845794e-09,0.0
0,15,19,1.3402533e-08,0.0
0,40,39,9.093565e-09,0.0
0,18,12,8.937779e-09,0.0
0,31,15,1.7810965e-08,0.0
0,38,15,9.041068e-09,0.0
0,32,32,1.7864801e-08,0.0
0,34,23,4.839638e-09,0.0
0,20,36,9.199871e-09,0.0
0,29,31,9.150615e-09,0.0
0,12,26,9.3093755e-09,0.0
0,9,21,4.681282e-09,0.0
0,7,23,8.986435e-09,0.0
0,14,11,1.3665855e-08,0.0
0,29,23,9.09667e-09,0.0
0,24,31,1.3453861e-08,0.0
0,37,20,4.576894e-09,0.0
0,15,16,8.990995e-09,0.0
0,38,27,9.098549e-09,0.0
0,35,25,9.09971e-09,0.0
0,12,39,4.57816e-09,0.0
0,20,40,4.78965e-09,0.0
0,24,21,1.33994735e-08,0.0
0,39,32,9.202501e-09,0.0
0,22,15,1.3453894e-08,0.0
0,18,29,8.9883745e-09,0.0
0,10,8,4.6794915e-09,0.0
0,8,36,1.3662677e-08,0.0
0,17,13,9.094777e-09,0.0
0,25,19,9.200555e-09,0.0
0,25,42,4.4667265e-09,0.0
0,36,37,9.310029e-09,0.0
0,9,42,4.5735953e-09,0.0
0,21,24,4.631953e-09,0.0
0,36,10,9.199318e-09,0.0
0,13,17,4.838999e-09,0.0
0,28,32,1.8021787e-08,0.0
0,16,16,4.2942216e-10,0.0
0,38,18,4.7295776e-09,0.0
0,11,12,8.94027e-09,0.0
0,7,40,4.6249466e-09,0.0
0,21,33,4.683839e-09,0.0
0,9,40,4.525593e-09,0.0
0,40,12,9.146679e-09,0.0
0,33,33,1.3507031e-08,0.0
0,33,12,1.3450726e-08,0.0
0,26,20,9.1980175e-09,0.0
0,42,33,4.5736814e-09,0.0
0,16,32,4.682601e-09,0.0
0,17,37,9.25498e-09,0.0
0,42,32,8.98216e-09,0.0
0,40,11,9.254225e-09,0.0
0,7,15,4.466682e-09,0.0
0,20,42,8.932725e-09,0.0
0,26,28,9.148057e-09,0.0
0,15,17,4.735248e-09,0.0
0,26,41,8.9852525e-09,0.0
0,7,29,1.621799e-10,0.0
0,34,15,4.790943e-09,0.0
0,34,12,4.735792e-09,0.0
0,17,9,9.042266e-09,0.0
0,39,15,4.5776156e-09,0.0
0,26,25,4.6813504e-09,0.0
0,25,37,4.6345003e-09,0.0
0,34,35,9.304457e-09,0.0
0,16,18,1.3559005e-08,0.0
0,29,14,4.7847584e-09,0.0
0,15,23,4.788864e-09,0.0
0,19,17,3.797621e-07,0.0
0,26,39,3.8380261e-07,0.0
0,13,13,3.751417e-07,0.0
0,17,35,3.7503963e-07,0.0
0,18,20,3.7961448e-07,0.0
0,36,13,3.7949926e-07,0.0
0,41,20,3.7934092e-07,0.0
0,28,18,3.7934475e-07,0.0
0,24,26,3.7056734e-07,0.0
0,34,17,3.8376018e-07,0.0
0,21,26,3.7498566e-07,0.0
0,30,38,3.7078144e-07,0.0
0,27,18,3.796563e-07,0.0
0,30,42,3.751371e-07,0.0
0,36,12,3.7493396e-07,0.0
0,12,16,3.7955448e-07,0.0
0,24,29,3.8386017e-07,0.0
0,40,40,3.7493388e-07,0.0
0,25,29,3.795012e-07,0.0
0,9,35,3.7514474e-07,0.0
0,22,32,3.7514215e-07,0.0
0,40,7,3.749269e-07,0.0
0,25,16,3.751905e-07,0.0
0,37,39,3.7971142e-07,0.0
0,31,8,3.7949982e-07,0.0
0,32,31,3.7083632e-07,0.0
0,24,30,3.7960567e-07,0.0
0,41,19,3.7954797e-07,0.0
0,23,18,3.7939677e-07,0.0
0,36,17,3.8816913e-07,0.0
0,10,38,3.7960186e-07,0.0
0,40,28,3.7077697e-07,0.0
0,7,12,3.79289e-07,0.0
0,38,38,3.7535492e-07,0.0
0,36,15,3.8396772e-07,0.0
0,17,38,3.7945313e-07,0.0
0,18,35,3.7498526e-07,0.0
0,10,18,3.8375197e-07,0.0
0,28,28,3.8412722e-07,0.0
0,16,8,3.7944739e-07,0.0
0,37,26,3.751978e-07,0.0
