mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
90000,13,21,0,3.393214e-06,3.0700532e-13,0.0,0.0,9.783454e-19,1.4329815e-32
90000,31,37,0,3.4003058e-06,4.633622e-09,0.0,0.0,7.9968976e-11,5.5375244e-26
90000,23,31,0,3.5929206e-06,3.4472672e-10,0.0,0.0,8.055706e-14,0.0
90000,37,22,0,3.2347946e-06,2.1827768e-08,1.007136e-39,0.0,3.6154915e-10,4.4593793e-38
90000,14,39,0,3.249525e-06,4.214207e-19,2.5221028e-36,6e-45,2.6229577e-30,2.8676748e-21
90000,22,15,0,3.2214623e-06,3.7276744e-13,0.0,0.0,1.2122549e-18,7.98013e-40
90000,37,31,0,3.206791e-06,7.6801884e-11,7.861535e-36,1.1e-44,1.7188733e-14,1.3436077e-28
90000,39,24,0,3.3869976e-06,3.216775e-10,2.817405e-27,1.27796385e-33,7.562971e-14,3.4324486e-38
90000,32,34,0,3.3937183e-06,3.4248646e-10,0.0,0.0,8.0063255e-14,6.3469054e-36
90000,36,36,0,3.755397e-06,3.2286207e-10,8.47668e-39,0.0,7.563347e-14,8.291675e-34
90000,40,26,0,3.4094971e-06,8.7759937e-13,1.5661013e-18,2.2677312e-22,2.8525921e-18,2.5150877e-32
90000,23,29,0,3.5996754e-06,1.6813817e-14,0.0,0.0,7.4037936e-22,0.0
90000,14,33,0,3.4110299e-06,3.0505032e-10,1.5e-44,0.0,7.0429793e-14,3.8600943e-37
90000,27,41,0,3.0399326e-06,1.07663904e-08,3.2510196e-28,1.8076886e-34,1.8060145e-10,2.0578694e-14
90000,41,19,0,3.4090615e-06,8.533184e-17,1.6132765e-25,3.6578942e-31,5.121283e-26,5.1982256e-20
90000,19,30,0,3.3953481e-06,3.8413116e-11,0.0,0.0,8.594367e-15,0.0
90000,29,20,0,3.395931e-06,7.710879e-11,0.0,0.0,1.7625356e-14,0.0
90000,41,37,0,3.4255283e-06,1.7194155e-08,1.742444e-23,7.24175e-29,2.8158018e-10,2.4722527e-20
90000,10,34,0,3.0451342e-06,3.6186226e-08,6.6235e-31,6.296052e-38,6.025379e-10,5.232828e-30
90000,19,9,0,3.228499e-06,1.5907011e-16,1.538736e-34,1.051e-42,3.546592e-24,5.088792e-18
90000,39,26,0,3.3886615e-06,1.6325567e-14,1.3173891e-21,2.7968238e-26,7.297346e-22,9.011796e-35
90000,9,10,0,3.2062026e-06,1.07734815e-16,3.6404852e-29,3.9710343e-36,6.634635e-26,2.444974e-22
90000,23,9,0,3.5900316e-06,2.1744828e-08,6.438961e-38,0.0,3.6153028e-10,5.8944126e-27
90000,37,12,0,3.2218622e-06,3.2200003e-09,3.250523e-32,5.54194e-40,5.0317257e-11,4.2050213e-30
90000,33,38,0,3.370576e-06,7.399557e-11,1.28467e-40,0.0,1.7541607e-14,1.214766e-27
90000,27,36,0,3.1969785e-06,1.1975949e-11,1.1e-44,0.0,2.4650569e-15,4.917019e-28
90000,29,10,0,3.198745e-06,6.720081e-13,1.3074847e-24,5.185474e-30,2.1902452e-18,5.1784335e-25
90000,38,8,0,3.3778513e-06,1.7532084e-08,5.263036e-18,8.1685267e-22,3.0009367e-10,1.7553804e-22
90000,34,33,0,3.5585724e-06,1.806145e-10,0.0,0.0,4.113421e-14,1.9534544e-34
90000,24,14,0,3.568259e-06,2.2572063e-14,0.0,0.0,9.929349e-22,2.094602e-37
90000,32,20,0,3.3922445e-06,9.249673e-11,0.0,0.0,2.188886e-14,0.0
90000,7,41,0,2.9945347e-06,7.330776e-17,5.6966514e-18,8.746226e-22,1.1407058e-23,1.0327303e-13
90000,16,18,0,3.7648833e-06,1.1758045e-10,0.0,0.0,2.7575518e-14,5.379029e-35
90000,20,13,0,3.394377e-06,1.1177367e-12,0.0,0.0,3.6367645e-18,6.0068954e-30
90000,17,26,0,3.394939e-06,2.535095e-10,3e-45,0.0,5.867225e-14,0.0
90000,42,37,0,3.5586784e-06,9.058241e-11,3.2089919e-21,8.201744e-26,2.0567896e-14,1.3293301e-17
90000,7,16,0,3.3938097e-06,7.761681e-18,1.1377973e-26,6.3269014e-33,4.1538107e-27,2.057626e-14
90000,31,36,0,3.198384e-06,7.469493e-11,0.0,0.0,1.7543914e-14,1.3017163e-28
90000,15,23,0,3.254681e-06,8.888175e-13,0.0,0.0,2.933591e-18,5.379063e-35
90000,16,13,0,3.2119394e-06,1.4818749e-15,3e-45,0.0,6.030965e-23,1.3086382e-21
90000,20,42,0,3.004011e-06,4.5815417e-11,1.0163152e-12,5.389842e-15,1.1630575e-14,2.1324005e-20
90000,32,15,0,3.0532833e-06,2.6831742e-08,0.0,0.0,4.5130966e-10,5.8244976e-38
90000,32,29,0,3.2104867e-06,2.0115484e-08,0.0,0.0,3.3123723e-10,0.0
90000,10,13,0,3.3884328e-06,1.7626203e-12,3.2509007e-28,1.8076868e-34,5.6892217e-18,1.4428912e-24
90000,16,23,0,3.741091e-06,1.208189e-12,0.0,0.0,3.757925e-18,9.619702e-38
90000,35,40,0,3.3943184e-06,6.3064403e-09,9.132455e-29,3.738845e-35,1.0095126e-10,1.0720204e-17
90000,11,11,0,3.4109726e-06,2.7477473e-14,1.539917e-30,1.2491852e-37,1.2301029e-21,4.0018532e-27
90000,24,13,0,3.4083835e-06,1.5241108e-12,0.0,0.0,4.893037e-18,8.482539e-35
90000,35,37,0,3.4031173e-06,1.8369108e-10,1.8177327e-38,0.0,4.2735147e-14,7.490067e-32
90000,12,26,0,3.386555e-06,8.8301144e-13,1.4753316e-29,1.5424401e-36,2.9333442e-18,1.8375282e-32
90000,39,11,0,3.387827e-06,7.739511e-13,1.0044584e-27,6.051542e-34,2.5239247e-18,5.2734878e-23
90000,17,28,0,3.394079e-06,3.842332e-11,3e-45,0.0,8.594367e-15,3.72e-42
90000,38,38,0,3.2223625e-06,3.2286626e-10,6.955882e-27,3.8096376e-33,7.563347e-14,1.0822866e-27
90000,23,32,0,3.419016e-06,2.6831584e-08,0.0,0.0,4.5130966e-10,0.0
90000,31,40,0,3.3778635e-06,9.599798e-15,8.00083e-40,0.0,4.245011e-22,2.565988e-18
90000,8,37,0,3.5729274e-06,2.170644e-08,7.627413e-29,1.898922e-35,3.6152167e-10,2.685548e-18
90000,14,25,0,3.3698489e-06,9.0686125e-11,3.0676066e-38,0.0,2.1883054e-14,6.560539e-36
90000,22,37,0,3.0387307e-06,3.8277217e-09,3.801514e-33,4.3009e-41,6.065034e-11,2.5736918e-30
90000,42,16,0,3.0384829e-06,4.5657964e-11,4.033188e-25,9.144735e-31,1.0942527e-14,7.294588e-10
90000,37,34,0,3.2467049e-06,9.164575e-11,2.592e-42,0.0,2.0571433e-14,4.4664135e-28
90000,14,20,0,3.4027178e-06,8.225294e-11,0.0,0.0,1.9712017e-14,1.13739245e-33
90000,33,31,0,3.1981544e-06,9.44528e-13,0.0,0.0,2.944244e-18,2.24939e-39
90000,31,39,0,3.4094987e-06,6.5312046e-13,3.87e-43,0.0,2.1375445e-18,7.852456e-21
90000,39,19,0,3.2065057e-06,9.197409e-17,2.7413736e-32,0.0,5.467643e-26,1.2145346e-25
90000,13,34,0,3.429469e-06,2.4353994e-10,1.39429e-40,0.0,5.581093e-14,4.628305e-36
90000,30,23,0,3.402274e-06,6.73943e-18,0.0,0.0,2.4323461e-27,0.0
90000,11,39,0,3.4099526e-06,1.5565806e-14,3.0339599e-31,5.172547e-39,6.823087e-22,2.3785782e-22
90000,10,26,0,3.4200445e-06,7.1905845e-17,1.7416809e-23,7.241256e-29,4.4708057e-26,2.5732329e-27
90000,33,16,0,3.0611511e-06,2.6936405e-08,0.0,0.0,4.5133408e-10,1.1467546e-35
90000,8,30,0,3.394494e-06,5.226612e-16,7.547251e-23,3.1378772e-28,1.769302e-23,2.6304112e-18
90000,26,38,0,3.58338e-06,3.8874455e-09,2.82192e-40,0.0,6.0664064e-11,1.0422565e-24
90000,32,31,0,3.2279206e-06,3.3369653e-12,0.0,0.0,1.0745345e-17,4.009e-42
90000,19,40,0,3.0394183e-06,5.125162e-09,3.847326e-21,9.045976e-26,8.9787976e-11,3.3155275e-29
90000,35,18,0,3.2201924e-06,1.4074693e-10,0.0,0.0,3.2284234e-14,6.3078368e-34
90000,26,23,0,3.3936403e-06,1.7238104e-10,0.0,0.0,4.0278487e-14,0.0
90000,24,35,0,3.4023694e-06,1.0517085e-12,3e-45,0.0,3.2803578e-18,7.1495506e-32
90000,9,25,0,3.4356503e-06,3.5929675e-17,4.3541815e-23,1.8103137e-28,2.2353982e-26,7.315067e-23
90000,25,32,0,3.592292e-06,2.1068614e-10,0.0,0.0,4.88408e-14,0.0
90000,25,38,0,3.426949e-06,1.2960259e-08,1.1438666e-38,0.0,2.1144429e-10,3.5029016e-25
90000,26,13,0,3.2302514e-06,6.669915e-13,1.5973e-41,0.0,2.1900306e-18,9.3283395e-31
90000,18,26,0,3.5815478e-06,2.1708258e-08,0.0,0.0,3.615217e-10,0.0
90000,17,37,0,3.222412e-06,1.6425242e-08,6.688314e-36,1e-44,2.7141825e-10,3.2027933e-32
90000,40,9,0,3.2561745e-06,2.6769734e-10,1.1252816e-25,7.72344e-32,6.336756e-14,4.4743823e-19
90000,14,19,0,3.3925944e-06,9.759799e-09,0.0,0.0,1.6975694e-10,1.6902811e-35
90000,20,28,0,3.4101276e-06,2.1706418e-08,0.0,0.0,3.6152167e-10,0.0
90000,40,29,0,3.3866374e-06,2.3550762e-17,6.2244497e-21,1.4082744e-25,1.400991e-26,4.1497784e-20
90000,19,33,0,3.2145224e-06,8.5623625e-13,1.29e-43,0.0,2.7336686e-18,0.0
90000,17,23,0,3.426315e-06,1.815484e-10,0.0,0.0,4.1137168e-14,1.63743e-40
90000,28,24,0,3.2383361e-06,5.466111e-13,0.0,0.0,1.7551983e-18,0.0
90000,34,7,0,3.3822296e-06,3.840294e-11,1.8759388e-25,1.2872889e-31,8.5943664e-15,5.3399587e-17
90000,30,22,0,3.2236749e-06,8.8457996e-16,0.0,0.0,3.0434626e-23,0.0
90000,31,17,0,3.2145329e-06,3.4582492e-10,0.0,0.0,8.056057e-14,5.37e-43
90000,14,26,0,3.1951438e-06,8.826306e-13,8.8430674e-36,2.1e-44,2.9333266e-18,9.564797e-38
90000,38,16,0,3.0325727e-06,7.465828e-09,1.319e-42,0.0,1.2087306e-10,4.6729012e-21
90000,14,37,0,3.7906907e-06,1.22620166e-14,8.8e-43,0.0,1.832492e-20,1.8476403e-26
90000,17,19,0,3.405384e-06,1.7656647e-14,0.0,0.0,7.8230445e-22,2.128116e-39
90000,32,21,0,3.394414e-06,8.932815e-13,0.0,0.0,2.9337931e-18,0.0
90000,28,16,0,3.4132856e-06,2.0884511e-13,0.0,0.0,5.4450105e-19,9.522298e-39
90000,32,33,0,3.2289956e-06,2.6179197e-08,0.0,0.0,4.4117468e-10,1.3503885e-38
90000,7,35,0,3.045824e-06,9.356656e-09,7.8449314e-24,3.1112848e-29,1.5122825e-10,1.6615558e-19
90000,34,20,0,3.0161043e-06,4.463647e-09,0.0,0.0,7.060813e-11,3.5875e-41
