time,X,Y,actual_cytokine_concentration,predicted_cytokine_concentration
0.0,33.0,22.0,3.7504083e-07,-0.010664884
0.0,11.0,32.0,4.7933284e-09,0.0032957383
0.0,30.0,35.0,8.997935e-09,-0.021304812
0.0,17.0,40.0,1.781103e-08,-0.011773046
0.0,21.0,23.0,4.7896207e-09,0.0020855851
0.0,21.0,12.0,1.3506469e-08,0.012917366
0.0,40.0,16.0,9.038541e-09,-0.012296375
0.0,35.0,19.0,4.2819917e-10,-0.009696428
0.0,21.0,30.0,1.3560726e-08,-0.0054818355
0.0,18.0,37.0,4.843991e-09,-0.009671543
0.0,24.0,18.0,9.200496e-09,0.0041312985
0.0,41.0,24.0,4.7337547e-09,-0.022205096
0.0,7.0,10.0,1.3449322e-08,0.0130157955
0.0,24.0,25.0,8.881459e-09,-0.003447432
0.0,33.0,23.0,9.041671e-09,-0.011773337
0.0,40.0,31.0,4.6344857e-09,-0.02842525
0.0,7.0,31.0,4.6775623e-09,0.009322826
0.0,33.0,37.0,9.410742e-09,-0.02679057
0.0,25.0,27.0,2.7047883e-10,-0.006806638
0.0,16.0,27.0,4.735122e-09,0.0031921826
0.0,37.0,11.0,4.3306347e-10,-0.0031007938
0.0,23.0,20.0,1.3453289e-08,0.0030968748
0.0,39.0,9.0,1.36076865e-08,-0.0032298826
0.0,21.0,32.0,9.094174e-09,-0.007668216
0.0,11.0,21.0,1.09643176e-10,0.012552004
0.0,39.0,21.0,1.6724713e-10,-0.016636256
0.0,18.0,10.0,8.884009e-09,0.0163324
0.0,10.0,29.0,1.3720154e-08,0.0071609057
0.0,9.0,19.0,4.6844013e-09,0.014705237
0.0,22.0,22.0,9.198684e-09,0.0020593144
0.0,9.0,14.0,2.209892e-10,0.015266772
0.0,36.0,21.0,9.14356e-09,-0.01310299
0.0,28.0,15.0,4.2510817e-10,0.0029275306
0.0,13.0,21.0,4.522393e-09,0.011297423
0.0,41.0,25.0,4.731981e-09,-0.023270424
0.0,19.0,25.0,4.7339865e-09,0.0021281876
0.0,39.0,38.0,1.3510189e-08,-0.034457352
0.0,29.0,40.0,9.097812e-09,-0.02541801
0.0,26.0,9.0,9.202343e-09,0.011254419
0.0,25.0,10.0,9.094902e-09,0.011241134
0.0,11.0,17.0,1.3715791e-08,0.014648464
0.0,24.0,41.0,1.13462066e-10,-0.020828974
0.0,24.0,38.0,9.094898e-09,-0.017639402
0.0,31.0,35.0,9.408904e-09,-0.022443559
0.0,30.0,30.0,3.8498804e-10,-0.015936602
0.0,14.0,29.0,4.632028e-09,0.0032002963
0.0,14.0,31.0,1.3452625e-08,0.0011688881
0.0,13.0,23.0,4.6306776e-09,0.009691317
0.0,8.0,7.0,4.6774207e-09,0.008676838
0.0,11.0,7.0,2.1284526e-10,0.013597343
0.0,21.0,14.0,1.3560749e-08,0.011119176
0.0,35.0,40.0,9.097267e-09,-0.032079127
0.0,35.0,11.0,9.039921e-09,-0.00073350593
0.0,10.0,24.0,9.090987e-09,0.011225697
0.0,35.0,21.0,9.145509e-09,-0.011920784
0.0,40.0,13.0,4.7845794e-09,-0.008938212
0.0,15.0,19.0,1.3402533e-08,0.011509638
0.0,40.0,39.0,9.093565e-09,-0.036557835
0.0,18.0,12.0,8.937779e-09,0.014981385
0.0,31.0,15.0,1.7810965e-08,-0.0005075745
0.0,38.0,15.0,9.041068e-09,-0.00879309
0.0,32.0,32.0,1.7864801e-08,-0.02040134
0.0,34.0,23.0,4.839638e-09,-0.012952607
0.0,20.0,36.0,9.199871e-09,-0.010878827
0.0,29.0,31.0,9.150615e-09,-0.015860286
0.0,12.0,26.0,9.3093755e-09,0.007939
0.0,9.0,21.0,4.681282e-09,0.013860282
0.0,7.0,23.0,8.986435e-09,0.01531693
0.0,14.0,11.0,1.3665855e-08,0.016551245
0.0,29.0,23.0,9.09667e-09,-0.007057879
0.0,24.0,31.0,1.3453861e-08,-0.010043945
0.0,37.0,20.0,4.576894e-09,-0.013179209
0.0,15.0,16.0,8.990995e-09,0.013759587
0.0,38.0,27.0,9.098549e-09,-0.021956999
0.0,35.0,25.0,9.09971e-09,-0.016321648
0.0,12.0,39.0,4.57816e-09,-0.0050246827
0.0,20.0,40.0,4.78965e-09,-0.0152032785
0.0,24.0,21.0,1.33994735e-08,0.0009179078
0.0,39.0,32.0,9.202501e-09,-0.02833857
0.0,22.0,15.0,1.3453894e-08,0.009248603
0.0,18.0,29.0,8.9883745e-09,-0.00102612
0.0,10.0,8.0,4.6794915e-09,0.012909669
0.0,8.0,36.0,1.3662677e-08,0.0029176362
0.0,17.0,13.0,9.094777e-09,0.014809508
0.0,25.0,19.0,9.200555e-09,0.0019616298
0.0,25.0,42.0,4.4667265e-09,-0.023008417
0.0,36.0,37.0,9.310029e-09,-0.030132804
0.0,9.0,42.0,4.5735953e-09,-0.0046633296
0.0,21.0,24.0,4.631953e-09,0.0010203011
0.0,36.0,10.0,9.199318e-09,-0.0007930137
0.0,13.0,17.0,4.838999e-09,0.014021952
0.0,28.0,32.0,1.8021787e-08,-0.015784826
