Epoch,Training Loss,Validation Loss
1,12.894419915559032,11.534079898606521
2,11.120046682505265,9.896088346455649
3,9.525791538247693,8.434025029502704
4,8.105489762973663,7.139279262339222
5,6.8500277568534225,6.001444879533167
6,5.748708552908098,5.009077799622193
7,4.789926878283053,4.150180741018811
8,3.96161811349583,3.412561056700839
9,3.25159512967199,2.784110810645761
10,2.6478135112311247,2.2530297064143987
11,2.1385823622793123,1.808000614729881
12,1.7127294242324351,1.4383241862466842
13,1.3597265846617876,1.1340176868799967
14,1.0697807942281385,0.8858826850438457
15,0.8338947571311508,0.6855450027555156
16,0.6439005782118552,0.5254698535484652
17,0.49246944295366246,0.3989557420939195
18,0.3731009859301113,0.300110878934998
19,0.2800960888470606,0.22381577033484795
20,0.20851666317093231,0.16567507387726035
21,0.1541353548639567,0.12196141066195867
22,0.1133779064572984,0.08955398758224178
23,0.08326100063122628,0.06587466797583459
24,0.06132812606118327,0.048823691046675964
25,0.04558553680024575,0.03671674951887447
26,0.03443992796061034,0.028224804875465075
27,0.02663913948838694,0.02231778325669328
28,0.02121699189025388,0.01821309702904644
29,0.017443108274890342,0.01532952806952743
30,0.014778150893555338,0.013246621788222564
31,0.012834576991738986,0.011669613745523208
32,0.011342910091708224,0.010399753302138524
33,0.010123330041466634,0.009309675215085139
34,0.009062209824562144,0.00832339334757021
35,0.00809315985395251,0.007400440123247934
36,0.0071820916162796,0.006523623761425032
37,0.006315762985135196,0.005689855527279337
38,0.005493264814929208,0.004903531906812287
39,0.004719940838429555,0.004171982892897576
40,0.004003258583150881,0.003502532539436304
41,0.0033501935529150553,0.002900786505654509
42,0.0027657561226156076,0.0023698162922737185
43,0.002252344317356069,0.0019099686202648236
44,0.001809665587793333,0.001519082060904066
45,0.0014350197043495737,0.001192935187358261
46,0.0011237788668557402,0.0009257973870827327
47,0.0008699456963051199,0.0007109902271430635
48,0.0006667057504269794,0.0005414024966526959
49,0.0005069245276366745,0.000409925257912989
50,0.0003835590607500732,0.0003097897660492143
51,0.00028997150010722644,0.00023480741342305002
52,0.00022014598056700968,0.00017951828686852206
53,0.000168816875769796,0.0001392609861721387
54,0.00013152211981694973,0.00011017929479449811
55,0.00010459721188622206,8.918128651106277e-05
56,8.51254988002574e-05,7.386628806604645e-05
57,7.085982447006628e-05,6.243326348219222e-05
58,6.012838699709332e-05,5.358130629669788e-05
59,5.173493355861166e-05,4.641078089712239e-05
60,4.4861277594294925e-05,4.033133003004275e-05
61,3.897780453308302e-05,3.4980748038936654e-05
62,3.3765414903335734e-05,3.0156601996068047e-05
63,2.9050416153253755e-05,2.576114394014681e-05
64,2.4752634521746157e-05,2.1758991538315484e-05
65,2.0846033642140936e-05,1.814639052920209e-05
66,1.7330526972697777e-05,1.4930370793155692e-05
67,1.4213215084576281e-05,1.2115879492958697e-05
68,1.149712991369691e-05,9.699013210291783e-06
69,9.175649347255066e-06,7.664654087012453e-06
70,7.2309292923764355e-06,5.986989402203797e-06
71,5.634897005827393e-06,4.631705483651379e-06
72,4.351689472109052e-06,3.5589793356567735e-06
73,3.3407054578558267e-06,2.7265680117314256e-06
74,2.5596288806743028e-06,2.0925564253574317e-06
75,1.9670509258681206e-06,1.6175596053750203e-06
76,1.5245161385654287e-06,1.266274511479948e-06
77,1.197910917308892e-06,1.0083825683261933e-06
78,9.582201397351133e-07,8.188840922526012e-07
79,7.81742288421337e-07,6.779796054478826e-07
80,6.498834302648613e-07,5.706298172460243e-07
81,5.486617166229679e-07,4.859164328757481e-07
82,4.680374920465944e-07,4.163029233742209e-07
83,4.01167232030983e-07,3.5688692953463295e-07
84,3.4366601133470866e-07,3.0470589019995706e-07
85,2.929342232592045e-07,2.5813562594957123e-07
86,2.475830700960044e-07,2.1640097149784497e-07
87,2.0697388012347048e-07,1.792020423886088e-07
88,1.70871433332054e-07,1.4644755889747617e-07
89,1.392012959795243e-07,1.1808179343373914e-07
90,1.1189649799291461e-07,9.398675828062863e-08
91,8.881473571084222e-08,7.394115461069147e-08
92,6.970815506268475e-08,5.761897049805729e-08
93,5.4228518661858655e-08,4.4611064324186834e-08
94,4.195205614021296e-08,3.4457577861515825e-08
95,3.241291301099807e-08,2.6682735935288963e-08
96,2.513731286442742e-08,2.0825833259877034e-08
97,1.9672917821412378e-08,1.6465157387452338e-08
98,1.561077401557037e-08,1.323376035303847e-08
99,1.2599070478164844e-08,1.0827252454941307e-08
100,1.0349179391634448e-08,9.004842947257417e-09
101,8.635318785680979e-09,7.585183885727164e-09
102,7.289421401305261e-09,6.4386751144035e-09
103,6.192886729506709e-09,5.477944512723858e-09
104,5.266903723519471e-09,4.648008981149631e-09
105,4.462735691760683e-09,3.91711929072089e-09
106,3.75284265660232e-09,3.268843709023124e-09
107,3.12334210525216e-09,2.695739921819449e-09
108,2.5680919443783802e-09,2.1946819894493398e-09
109,2.0844059772050375e-09,1.763724471193843e-09
110,1.6702569369280694e-09,1.4002702574167467e-09
111,1.322709780001065e-09,1.1002474594212977e-09
112,1.0372940999125032e-09,8.580027276217872e-10
113,8.080180027418827e-10,6.666228532423969e-10
114,6.277543117613536e-10,5.184721920851858e-10
115,4.887989763634267e-10,4.0577967489604896e-10
116,3.83447007303416e-10,3.211574853280322e-10
117,3.044805916050461e-10,2.579864270426553e-10
118,2.4551761823243026e-10,2.1065111857159434e-10
119,2.0121075170297748e-10,1.7463265881039184e-10
120,1.673093130811028e-10,1.4648418432448807e-10
121,1.4061209910935733e-10,1.2372207255346858e-10
122,1.1884380020763655e-10,1.0466544713536367e-10
123,1.0048788381520414e-10,8.825605969987053e-11
124,8.460645870072406e-11,7.388307038012621e-11
125,7.066938573412674e-11,6.122841904087354e-11
126,5.840660785342923e-11,5.0142123680173084e-11
127,4.7691601686298796e-11,4.055075344299871e-11
128,3.845777655378228e-11,3.2397239890212636e-11
129,3.064521515221373e-11,2.560742970503304e-11
130,2.4172619975705908e-11,2.007678719503206e-11
131,1.8927742423515037e-11,1.5670819017856426e-11
132,1.4770177137166915e-11,1.2233839812750252e-11
133,1.1541264669610398e-11,9.601284695014572e-12
134,9.076577255243962e-12,7.612023934435602e-12
135,7.217787586864353e-12,6.11845758351093e-12
136,5.821987822742288e-12,4.993310429798238e-12
137,4.767618051199627e-12,4.132966294980125e-12
138,3.957024360077846e-12,3.4578045201047926e-12
139,3.3161839700885323e-12,2.9102456334215807e-12
140,2.7923397696877787e-12,2.4513428484232346e-12
141,2.350383677602421e-12,2.0566945852862805e-12
142,1.968718564887907e-12,1.712301872983769e-12
143,1.6352028995033156e-12,1.4108724889436229e-12
144,1.3436217188909958e-12,1.1488533216243777e-12
145,1.0909200598962247e-12,9.242783637923078e-13
146,8.752455485829677e-13,7.353856977097891e-13
147,6.947344822069901e-13,5.798848400177195e-13
148,5.469096774321268e-13,4.547156244250338e-13
149,4.2853079776699413e-13,3.5613652722599266e-13
150,3.3573602462594066e-13,2.7999812278342636e-13
151,2.643368848383212e-13,2.2207426930303408e-13
152,2.1014667653309368e-13,1.7836869150280776e-13
153,1.6927142211406954e-13,1.4534709263428097e-13
154,1.3831910064819574e-13,1.2007671057316841e-13
