Epoch,Training Loss,Validation Loss
1,0.9787040974243283,0.43667995341448224
2,0.602047078187988,0.8881091168882785
3,0.9157755618558789,0.8152770397004069
4,0.6555426820139884,0.3819862322015624
5,0.2706758064318976,0.14442620725878105
6,0.13099228796857826,0.1329302250235719
7,0.1391777242157785,0.13729545992458148
8,0.12066049660923213,0.08515290336198204
9,0.06487254516850612,0.03767112763324632
10,0.03136412247232679,0.026466893980797667
11,0.026471190714804454,0.02538922534379657
12,0.022583606900099636,0.016494081559289005
13,0.01289152392408526,0.00799353173533414
14,0.006794485291170533,0.00574040714673852
15,0.00555134499128471,0.004986680839855789
16,0.004296358861369533,0.0029951646194000445
17,0.002366198948016668,0.0015869193870729893
18,0.0014291044146801666,0.0012704990699141723
19,0.0011789092624459024,0.0009566323403174691
20,0.0007850443237623214,0.0005190861159941779
21,0.0004297060265028641,0.000334130347344564
22,0.0003127136318530838,0.0002722054229014236
23,0.00023518897871367954,0.0001670735953224277
24,0.00013502935815382414,9.552150037417988e-05
25,8.653525341469656e-05,7.501644878620713e-05
26,6.708126145710064e-05,5.0924800729347515e-05
27,4.1458534388470556e-05,2.8482935466531565e-05
28,2.496436771865739e-05,2.0937747422240743e-05
29,1.901266665940586e-05,1.5034921144923647e-05
30,1.2417611775398054e-05,8.576842539366116e-06
31,7.386719900366419e-06,6.031475551443311e-06
32,5.498334751632101e-06,4.439629563215095e-06
33,3.7185058396179344e-06,2.6251733679798735e-06
34,2.2587029644933122e-06,1.8332852682172707e-06
35,1.680813441920071e-06,1.3863035854106405e-06
36,1.1890630876865365e-06,8.897108490056418e-07
37,7.883383601615993e-07,6.723012368074092e-07
38,6.311731334593786e-07,5.523907749672818e-07
39,5.02503739726986e-07,4.2872650910649337e-07
40,4.0844319746703176e-07,3.86307343981919e-07
41,3.827548194549782e-07,3.757290492460218e-07
42,3.666343874540637e-07,3.5514516335817945e-07
43,3.538171591375485e-07,3.5614514266585993e-07
44,3.5535520954107164e-07,3.6031234487855296e-07
45,3.61575815156781e-07,3.621005941612208e-07
46,3.6146725234695015e-07,3.5538083682009424e-07
47,3.609371934014576e-07,3.6353528395650965e-07
48,3.6648944673406877e-07,3.7076614557413537e-07
49,3.7250371147398973e-07,3.7259735719680094e-07
50,3.743075910279427e-07,3.7956526509787474e-07
51,3.7872238221252025e-07,3.7933147921355825e-07
52,3.825972131195721e-07,3.797819970031416e-07
53,3.9260158145341793e-07,3.9635768176471595e-07
54,3.933866886199157e-07,4.015357330679474e-07
55,4.0397613799035633e-07,4.0845831626927455e-07
56,4.1589115606390177e-07,4.195987589100446e-07
57,4.2591100308468833e-07,4.4199157164886264e-07
58,4.498227906168658e-07,4.5648860469883474e-07
59,4.631713336225557e-07,4.743969808570816e-07
